<TOPS - 조위예측극치자료>

대상조위관측소 : 진도
위도(WGS84) : N  34도 22분 40초
경도(WGS84) : E 126도 18분 31초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 02 37 MIN    58
2021 12 01 08 43 MAX   309
2021 12 01 15 04 MIN    79
2021 12 01 20 42 MAX   309
2021 12 02 03 20 MIN    27
2021 12 02 09 27 MAX   344
2021 12 02 15 57 MIN    56
2021 12 02 21 25 MAX   315
2021 12 03 04 03 MIN    -3
2021 12 03 10 11 MAX   376
2021 12 03 16 45 MIN    40
2021 12 03 22 08 MAX   318
2021 12 04 04 45 MIN   -27
2021 12 04 10 56 MAX   399
2021 12 04 17 33 MIN    32
2021 12 04 22 51 MAX   317
2021 12 05 05 28 MIN   -42
2021 12 05 11 43 MAX   409
2021 12 05 18 21 MIN    34
2021 12 05 23 36 MAX   309
2021 12 06 06 13 MIN   -43
2021 12 06 12 33 MAX   407
2021 12 06 19 10 MIN    46
2021 12 07 00 22 MAX   296
2021 12 07 06 59 MIN   -31
2021 12 07 13 26 MAX   392
2021 12 07 20 02 MIN    64
2021 12 08 01 12 MAX   279
2021 12 08 07 47 MIN    -6
2021 12 08 14 23 MAX   368
2021 12 08 20 56 MIN    82
2021 12 09 02 07 MAX   261
2021 12 09 08 39 MIN    27
2021 12 09 15 26 MAX   341
2021 12 09 21 55 MIN    98
2021 12 10 03 16 MAX   245
2021 12 10 09 36 MIN    64
2021 12 10 16 34 MAX   314
2021 12 10 22 58 MIN   107
2021 12 11 04 46 MAX   236
2021 12 11 10 43 MIN    97
2021 12 11 17 43 MAX   292
2021 12 12 00 04 MIN   107
2021 12 12 06 20 MAX   241
2021 12 12 12 01 MIN   121
2021 12 12 18 46 MAX   277
2021 12 13 01 07 MIN   100
2021 12 13 07 36 MAX   256
2021 12 13 13 24 MIN   131
2021 12 13 19 40 MAX   267
2021 12 14 02 03 MIN    88
2021 12 14 08 34 MAX   274
2021 12 14 14 36 MIN   127
2021 12 14 20 26 MAX   262
2021 12 15 02 48 MIN    74
2021 12 15 09 19 MAX   293
2021 12 15 15 32 MIN   118
2021 12 15 21 05 MAX   260
2021 12 16 03 28 MIN    60
2021 12 16 09 56 MAX   310
2021 12 16 16 16 MIN   108
2021 12 16 21 40 MAX   262
2021 12 17 04 03 MIN    48
2021 12 17 10 29 MAX   324
2021 12 17 16 54 MIN    99
2021 12 17 22 13 MAX   264
2021 12 18 04 36 MIN    36
2021 12 18 10 59 MAX   336
2021 12 18 17 29 MIN    93
