<TOPS - 조위예측극치자료>

대상조위관측소 : 태안
위도(WGS84) : N  36도 54분 47초
경도(WGS84) : E 126도 14분 20초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 01 09 MAX   589
2021 12 01 07 36 MIN   132
2021 12 01 13 51 MAX   617
2021 12 01 20 07 MIN   149
2021 12 02 02 04 MAX   619
2021 12 02 08 26 MIN    75
2021 12 02 14 42 MAX   678
2021 12 02 21 02 MIN   110
2021 12 03 02 53 MAX   642
2021 12 03 09 12 MIN    29
2021 12 03 15 29 MAX   725
2021 12 03 21 53 MIN    84
2021 12 04 03 40 MAX   654
2021 12 04 09 56 MIN    -3
2021 12 04 16 16 MAX   755
2021 12 04 22 43 MIN    73
2021 12 05 04 25 MAX   654
2021 12 05 10 41 MIN   -17
2021 12 05 17 03 MAX   766
2021 12 05 23 31 MIN    77
2021 12 06 05 11 MAX   643
2021 12 06 11 25 MIN   -15
2021 12 06 17 50 MAX   761
2021 12 07 00 19 MIN    93
2021 12 07 05 57 MAX   626
2021 12 07 12 10 MIN     2
2021 12 07 18 38 MAX   743
2021 12 08 01 07 MIN   117
2021 12 08 06 45 MAX   603
2021 12 08 12 57 MIN    31
2021 12 08 19 26 MAX   712
2021 12 09 01 56 MIN   145
2021 12 09 07 34 MAX   577
2021 12 09 13 45 MIN    73
2021 12 09 20 16 MAX   673
2021 12 10 02 47 MIN   174
2021 12 10 08 28 MAX   549
2021 12 10 14 37 MIN   122
2021 12 10 21 09 MAX   628
2021 12 11 03 44 MIN   197
2021 12 11 09 31 MAX   525
2021 12 11 15 39 MIN   173
2021 12 11 22 09 MAX   586
2021 12 12 04 47 MIN   210
2021 12 12 10 46 MAX   514
2021 12 12 16 52 MIN   213
2021 12 12 23 17 MAX   555
2021 12 13 05 55 MIN   205
2021 12 13 12 06 MAX   526
2021 12 13 18 12 MIN   229
2021 12 14 00 27 MAX   542
2021 12 14 06 58 MIN   184
2021 12 14 13 16 MAX   556
2021 12 14 19 26 MIN   221
2021 12 15 01 27 MAX   545
2021 12 15 07 51 MIN   155
2021 12 15 14 12 MAX   593
2021 12 15 20 25 MIN   202
2021 12 16 02 17 MAX   555
2021 12 16 08 34 MIN   126
2021 12 16 14 57 MAX   627
2021 12 16 21 12 MIN   181
2021 12 17 02 58 MAX   567
2021 12 17 09 11 MIN   102
2021 12 17 15 34 MAX   652
2021 12 17 21 52 MIN   163
2021 12 18 03 35 MAX   578
2021 12 18 09 45 MIN    84
2021 12 18 16 09 MAX   670
2021 12 18 22 29 MIN   152
2021 12 19 04 09 MAX   585
2021 12 19 10 18 MIN    71
2021 12 19 16 42 MAX   681
2021 12 19 23 03 MIN   146
2021 12 20 04 43 MAX   589
2021 12 20 10 51 MIN    63
2021 12 20 17 14 MAX   686
2021 12 20 23 37 MIN   146
2021 12 21 05 16 MAX   589
2021 12 21 11 24 MIN    60
2021 12 21 17 47 MAX   686
2021 12 22 00 10 MIN   150
