<TOPS - 조위예측극치자료>

대상조위관측소 : 포항
위도(WGS84) : N  36도 02분 50초
경도(WGS84) : E 129도 23분 02초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 01 07 MAX    25
2021 12 01 07 01 MIN    19
2021 12 01 14 25 MAX    26
2021 12 01 19 55 MIN    21
2021 12 02 01 19 MAX    26
2021 12 02 07 50 MIN    16
2021 12 02 16 02 MAX    28
2021 12 02 20 50 MIN    24
2021 12 03 01 36 MAX    28
2021 12 03 08 41 MIN    14
2021 12 03 17 23 MAX    30
2021 12 03 21 33 MIN    27
2021 12 04 02 02 MAX    30
2021 12 04 09 36 MIN    12
2021 12 04 18 37 MAX    31
2021 12 04 22 00 MIN    30
2021 12 05 02 36 MAX    33
2021 12 05 10 34 MIN    11
2021 12 05 19 44 MAX    32
2021 12 05 22 00 MIN    31
2021 12 06 03 17 MAX    35
2021 12 06 11 35 MIN    10
2021 12 07 04 04 MAX    36
2021 12 07 12 38 MIN    11
2021 12 08 04 57 MAX    36
2021 12 08 13 41 MIN    11
2021 12 09 05 58 MAX    35
2021 12 09 14 42 MIN    12
2021 12 10 07 08 MAX    32
2021 12 10 15 40 MIN    14
2021 12 10 23 21 MAX    26
2021 12 11 03 37 MIN    25
2021 12 11 08 32 MAX    29
2021 12 11 16 34 MIN    15
2021 12 11 23 55 MAX    25
2021 12 12 05 07 MIN    22
2021 12 12 10 05 MAX    26
2021 12 12 17 25 MIN    16
2021 12 13 00 25 MAX    24
2021 12 13 06 22 MIN    19
2021 12 13 11 54 MAX    23
2021 12 13 18 12 MIN    17
2021 12 14 00 48 MAX    23
2021 12 14 07 27 MIN    16
2021 12 14 13 52 MAX    22
2021 12 14 18 55 MIN    19
2021 12 15 00 58 MAX    23
2021 12 15 08 20 MIN    14
2021 12 15 15 27 MAX    22
2021 12 15 19 30 MIN    20
2021 12 16 00 58 MAX    23
2021 12 16 09 03 MIN    12
2021 12 16 16 49 MAX    23
2021 12 16 20 00 MIN    22
2021 12 17 00 59 MAX    23
2021 12 17 09 41 MIN    11
2021 12 18 01 12 MAX    25
2021 12 18 10 16 MIN    10
2021 12 19 01 43 MAX    26
2021 12 19 10 54 MIN    10
2021 12 20 02 23 MAX    27
2021 12 20 11 34 MIN    10
2021 12 21 03 07 MAX    27
2021 12 21 12 16 MIN    10
2021 12 22 03 49 MAX    28
2021 12 22 12 57 MIN    10
2021 12 23 04 31 MAX    27
2021 12 23 13 38 MIN    10
2021 12 24 05 13 MAX    26
2021 12 24 14 16 MIN    10
2021 12 25 05 57 MAX    25
2021 12 25 14 57 MIN    11
2021 12 25 22 30 MAX    22
2021 12 26 02 00 MIN    21
2021 12 26 06 49 MAX    23
2021 12 26 15 39 MIN    11
2021 12 26 22 43 MAX    21
2021 12 27 03 43 MIN    19
2021 12 27 07 58 MAX    21
2021 12 27 16 27 MIN    12
2021 12 27 23 03 MAX    20
2021 12 28 04 52 MIN    16
2021 12 28 09 59 MAX    19
2021 12 28 17 19 MIN    14
2021 12 28 23 18 MAX    20
2021 12 29 05 49 MIN    13
2021 12 29 13 18 MAX    19
2021 12 29 18 14 MIN    16
2021 12 29 23 33 MAX    21
2021 12 30 06 44 MIN     9
2021 12 30 15 21 MAX    20
2021 12 30 19 15 MIN    19
2021 12 30 23 59 MAX    22
2021 12 31 07 38 MIN     7
2021 12 31 16 45 MAX    22
2021 12 31 19 45 MIN    21
2022 01 01 00 31 MAX    24
2022 01 01 08 37 MIN     5
2022 01 01 18 08 MAX    24
2022 01 01 20 09 MIN    23
2022 01 02 01 13 MAX    26
2022 01 02 09 34 MIN     4
2022 01 02 19 12 MAX    25
2022 01 02 20 23 MIN    24
2022 01 03 02 05 MAX    28
2022 01 03 10 31 MIN     3
2022 01 04 03 05 MAX    30
2022 01 04 11 34 MIN     4
2022 01 05 03 59 MAX    30
2022 01 05 12 34 MIN     5
2022 01 06 04 55 MAX    29
2022 01 06 13 30 MIN     6
2022 01 06 21 34 MAX    22
2022 01 06 23 53 MIN    21
2022 01 07 05 56 MAX    27
2022 01 07 14 21 MIN     7
2022 01 07 21 54 MAX    21
2022 01 08 01 40 MIN    19
2022 01 08 07 03 MAX    24
2022 01 08 15 02 MIN     9
2022 01 08 22 15 MAX    20
