<TOPS - 조위예측극치자료>

대상조위관측소 : 호산항
위도(WGS84) : N  37도 10분 34초
경도(WGS84) : E 129도 20분 34초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 00 31 MAX    23
2021 12 01 06 44 MIN    12
2021 12 01 12 55 MAX    22
2021 12 01 18 44 MIN    14
2021 12 02 00 47 MAX    26
2021 12 02 07 33 MIN     9
2021 12 02 14 13 MAX    24
2021 12 02 19 28 MIN    16
2021 12 03 01 13 MAX    29
2021 12 03 08 23 MIN     5
2021 12 03 15 17 MAX    25
2021 12 03 20 12 MIN    18
2021 12 04 01 46 MAX    31
2021 12 04 09 15 MIN     2
2021 12 04 16 25 MAX    24
2021 12 04 20 54 MIN    19
2021 12 05 02 25 MAX    32
2021 12 05 10 08 MIN    -1
2021 12 05 17 46 MAX    23
2021 12 05 21 34 MIN    19
2021 12 06 03 08 MAX    32
2021 12 06 11 03 MIN    -3
2021 12 06 19 07 MAX    21
2021 12 06 22 11 MIN    18
2021 12 07 03 54 MAX    31
2021 12 07 12 00 MIN    -4
2021 12 07 20 14 MAX    18
2021 12 07 22 49 MIN    17
2021 12 08 04 45 MAX    29
2021 12 08 13 00 MIN    -4
2021 12 09 05 39 MAX    26
2021 12 09 14 00 MIN    -3
2021 12 09 22 14 MAX    15
2021 12 10 00 42 MIN    14
2021 12 10 06 41 MAX    23
2021 12 10 14 58 MIN    -1
2021 12 10 23 03 MAX    15
2021 12 11 02 36 MIN    13
2021 12 11 07 49 MAX    20
2021 12 11 15 50 MIN     2
2021 12 11 23 37 MAX    16
2021 12 12 04 10 MIN    12
2021 12 12 09 03 MAX    17
2021 12 12 16 38 MIN     5
2021 12 13 00 01 MAX    17
2021 12 13 05 32 MIN    10
2021 12 13 10 38 MAX    16
2021 12 13 17 22 MIN     8
2021 12 14 00 21 MAX    19
2021 12 14 06 40 MIN     9
2021 12 14 12 54 MAX    16
2021 12 14 18 03 MIN    11
2021 12 15 00 37 MAX    21
2021 12 15 07 33 MIN     7
2021 12 15 14 12 MAX    17
2021 12 15 18 44 MIN    14
2021 12 16 00 52 MAX    22
2021 12 16 08 16 MIN     6
2021 12 16 15 08 MAX    18
2021 12 16 19 21 MIN    16
2021 12 17 01 08 MAX    23
2021 12 17 08 53 MIN     4
2021 12 17 15 56 MAX    19
2021 12 17 19 51 MIN    17
2021 12 18 01 29 MAX    24
2021 12 18 09 25 MIN     3
2021 12 18 16 40 MAX    19
2021 12 18 20 16 MIN    17
2021 12 19 01 55 MAX    24
2021 12 19 09 57 MIN     1
2021 12 19 17 22 MAX    17
2021 12 19 20 41 MIN    16
2021 12 20 02 27 MAX    24
2021 12 20 10 30 MIN     0
2021 12 20 18 04 MAX    16
2021 12 20 21 09 MIN    15
2021 12 21 03 05 MAX    24
2021 12 21 11 05 MIN    -2
2021 12 21 18 47 MAX    14
2021 12 21 21 41 MIN    13
2021 12 22 03 44 MAX    23
2021 12 22 11 43 MIN    -3
2021 12 22 19 32 MAX    13
2021 12 22 22 16 MIN    12
2021 12 23 04 25 MAX    22
2021 12 23 12 22 MIN    -3
2021 12 23 20 17 MAX    13
2021 12 23 22 56 MIN    12
2021 12 24 05 07 MAX    21
2021 12 24 13 03 MIN    -2
2021 12 24 21 00 MAX    13
2021 12 24 23 48 MIN    12
2021 12 25 05 51 MAX    20
2021 12 25 13 45 MIN     0
2021 12 25 21 36 MAX    14
2021 12 26 01 09 MIN    13
2021 12 26 06 42 MAX    19
2021 12 26 14 28 MIN     3
2021 12 26 21 59 MAX    16
2021 12 27 02 49 MIN    13
2021 12 27 07 48 MAX    18
2021 12 27 15 13 MIN     6
2021 12 27 22 16 MAX    18
2021 12 28 04 09 MIN    12
2021 12 28 09 16 MAX    17
2021 12 28 16 01 MIN     9
2021 12 28 22 36 MAX    21
2021 12 29 05 17 MIN    10
2021 12 29 11 18 MAX    18
2021 12 29 16 53 MIN    13
2021 12 29 23 04 MAX    24
2021 12 30 06 20 MIN     7
2021 12 30 13 33 MAX    20
2021 12 30 17 48 MIN    16
2021 12 30 23 42 MAX    26
2021 12 31 07 20 MIN     4
2021 12 31 14 49 MAX    22
2021 12 31 18 44 MIN    18
2022 01 01 00 26 MAX    29
2022 01 01 08 16 MIN     1
2022 01 01 15 57 MAX    22
2022 01 01 19 39 MIN    19
2022 01 02 01 14 MAX    30
2022 01 02 09 11 MIN    -2
2022 01 02 16 54 MAX    22
2022 01 02 20 25 MIN    19
2022 01 03 02 05 MAX    31
2022 01 03 10 05 MIN    -4
2022 01 03 17 57 MAX    20
2022 01 03 21 06 MIN    18
2022 01 04 02 57 MAX    31
2022 01 04 10 57 MIN    -6
2022 01 04 18 52 MAX    18
2022 01 04 21 49 MIN    16
2022 01 05 03 49 MAX    30
2022 01 05 11 48 MIN    -6
2022 01 05 19 39 MAX    16
2022 01 05 22 35 MIN    14
2022 01 06 04 40 MAX    27
2022 01 06 12 36 MIN    -5
2022 01 06 20 18 MAX    14
2022 01 06 23 31 MIN    12
2022 01 07 05 32 MAX    24
2022 01 07 13 22 MIN    -3
2022 01 07 20 50 MAX    13
2022 01 08 00 44 MIN    10
2022 01 08 06 25 MAX    21
2022 01 08 14 02 MIN    -1
2022 01 08 21 17 MAX    14
2022 01 09 02 08 MIN     9
2022 01 09 07 22 MAX    17
2022 01 09 14 40 MIN     2
2022 01 09 21 43 MAX    15
2022 01 10 03 38 MIN     8
2022 01 10 08 33 MAX    14
2022 01 10 15 14 MIN     5
2022 01 10 22 10 MAX    16
2022 01 11 05 05 MIN     6
2022 01 11 10 45 MAX    12
2022 01 11 15 45 MIN     9
2022 01 11 22 39 MAX    17
2022 01 12 06 19 MIN     5
2022 01 12 13 46 MAX    12
2022 01 12 16 21 MIN    11
2022 01 12 23 05 MAX    19
2022 01 13 07 16 MIN     3
2022 01 13 23 36 MAX    20
2022 01 14 08 00 MIN     2
2022 01 15 00 12 MAX    20
2022 01 15 08 35 MIN     1
2022 01 15 16 09 MAX    16
2022 01 15 18 34 MIN    15
2022 01 16 00 51 MAX    21
2022 01 16 09 09 MIN     0
2022 01 16 16 59 MAX    15
2022 01 16 19 32 MIN    14
2022 01 17 01 35 MAX    22
2022 01 17 09 43 MIN    -2
2022 01 17 17 01 MAX    15
2022 01 17 20 11 MIN    13
2022 01 18 02 20 MAX    23
2022 01 18 10 17 MIN    -3
2022 01 18 17 31 MAX    14
2022 01 18 20 48 MIN    12
2022 01 19 03 02 MAX    23
2022 01 19 10 53 MIN    -4
2022 01 19 18 04 MAX    13
2022 01 19 21 28 MIN    11
2022 01 20 03 41 MAX    22
2022 01 20 11 27 MIN    -4
2022 01 20 18 41 MAX    12
2022 01 20 22 14 MIN    10
2022 01 21 04 21 MAX    21
2022 01 21 12 01 MIN    -4
2022 01 21 19 08 MAX    12
2022 01 21 23 06 MIN     9
2022 01 22 05 02 MAX    20
2022 01 22 12 32 MIN    -3
2022 01 22 19 24 MAX    13
2022 01 23 00 00 MIN     9
2022 01 23 05 46 MAX    19
2022 01 23 13 04 MIN     0
2022 01 23 19 43 MAX    14
2022 01 24 01 04 MIN     8
2022 01 24 06 36 MAX    17
2022 01 24 13 36 MIN     3
2022 01 24 20 09 MAX    15
2022 01 25 02 17 MIN     7
2022 01 25 07 46 MAX    15
2022 01 25 14 11 MIN     6
2022 01 25 20 33 MAX    18
2022 01 26 03 33 MIN     5
2022 01 26 09 36 MAX    14
2022 01 26 14 53 MIN    10
2022 01 26 21 12 MAX    20
2022 01 27 04 49 MIN     3
2022 01 27 12 33 MAX    15
2022 01 27 15 52 MIN    13
2022 01 27 21 59 MAX    22
2022 01 28 06 03 MIN     1
2022 01 28 14 21 MAX    17
2022 01 28 16 53 MIN    16
2022 01 28 22 55 MAX    24
2022 01 29 07 11 MIN    -1
2022 01 29 15 29 MAX    18
2022 01 29 18 12 MIN    17
2022 01 29 23 56 MAX    25
2022 01 30 08 11 MIN    -4
2022 01 30 16 17 MAX    18
2022 01 30 19 13 MIN    17
2022 01 31 00 59 MAX    26
2022 01 31 09 05 MIN    -6
2022 01 31 16 56 MAX    17
2022 01 31 20 15 MIN    15
2022 02 01 02 00 MAX    27
2022 02 01 09 55 MIN    -7
2022 02 01 17 24 MAX    16
2022 02 01 21 01 MIN    13
2022 02 02 02 56 MAX    27
2022 02 02 10 41 MIN    -7
2022 02 02 17 54 MAX    14
2022 02 02 21 47 MIN    11
2022 02 03 03 47 MAX    26
2022 02 03 11 22 MIN    -7
2022 02 03 18 12 MAX    13
2022 02 03 22 40 MIN     8
2022 02 04 04 34 MAX    23
2022 02 04 12 01 MIN    -5
2022 02 04 18 34 MAX    12
2022 02 04 23 35 MIN     6
2022 02 05 05 21 MAX    20
2022 02 05 12 34 MIN    -3
2022 02 05 18 55 MAX    12
2022 02 06 00 36 MIN     4
2022 02 06 06 10 MAX    16
2022 02 06 13 03 MIN    -1
2022 02 06 19 13 MAX    13
2022 02 07 01 46 MIN     3
2022 02 07 07 07 MAX    12
2022 02 07 13 28 MIN     2
2022 02 07 19 45 MAX    13
2022 02 08 03 02 MIN     2
2022 02 08 08 47 MAX     8
2022 02 08 13 44 MIN     5
2022 02 08 20 17 MAX    13
2022 02 09 04 22 MIN     1
2022 02 09 20 47 MAX    14
2022 02 10 05 39 MIN     0
2022 02 10 21 30 MAX    14
2022 02 11 06 42 MIN    -1
2022 02 11 22 24 MAX    15
2022 02 12 07 29 MIN    -2
2022 02 12 23 25 MAX    16
2022 02 13 08 09 MIN    -3
2022 02 14 00 28 MAX    17
2022 02 14 08 46 MIN    -4
2022 02 14 16 22 MAX    11
2022 02 14 19 17 MIN    10
2022 02 15 01 24 MAX    18
2022 02 15 09 21 MIN    -5
2022 02 15 16 35 MAX    11
