<TOPS - 조위예측극치자료>

대상조위관측소 : 홍도항
위도(WGS84) : N  34도 40분 52초
경도(WGS84) : E 125도 11분 42초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 04 42 MIN    55
2021 12 01 11 09 MAX   270
2021 12 01 17 08 MIN    68
2021 12 01 23 20 MAX   269
2021 12 02 05 23 MIN    29
2021 12 02 12 00 MAX   300
2021 12 02 17 59 MIN    54
2021 12 03 00 05 MAX   276
2021 12 03 06 03 MIN     4
2021 12 03 12 48 MAX   328
2021 12 03 18 46 MIN    45
2021 12 04 00 49 MAX   280
2021 12 04 06 43 MIN   -15
2021 12 04 13 34 MAX   349
2021 12 04 19 32 MIN    42
2021 12 05 01 34 MAX   280
2021 12 05 07 25 MIN   -26
2021 12 05 14 22 MAX   360
2021 12 05 20 20 MIN    46
2021 12 06 02 20 MAX   276
2021 12 06 08 09 MIN   -26
2021 12 06 15 11 MAX   360
2021 12 06 21 09 MIN    55
2021 12 07 03 08 MAX   269
2021 12 07 08 55 MIN   -16
2021 12 07 16 02 MAX   350
2021 12 07 22 01 MIN    68
2021 12 08 03 58 MAX   259
2021 12 08 09 45 MIN     2
2021 12 08 16 55 MAX   331
2021 12 08 22 56 MIN    80
2021 12 09 04 52 MAX   247
2021 12 09 10 39 MIN    26
2021 12 09 17 50 MAX   307
2021 12 09 23 56 MIN    90
2021 12 10 05 51 MAX   236
2021 12 10 11 39 MIN    52
2021 12 10 18 49 MAX   283
2021 12 11 01 01 MIN    95
2021 12 11 06 58 MAX   228
2021 12 11 12 49 MIN    76
2021 12 11 19 51 MAX   262
2021 12 12 02 07 MIN    93
2021 12 12 08 13 MAX   225
2021 12 12 14 11 MIN    93
2021 12 12 20 56 MAX   247
2021 12 13 03 11 MIN    86
2021 12 13 09 31 MAX   230
2021 12 13 15 36 MIN    99
2021 12 13 21 57 MAX   238
2021 12 14 04 08 MIN    74
2021 12 14 10 41 MAX   243
2021 12 14 16 46 MIN    97
2021 12 14 22 52 MAX   235
2021 12 15 04 56 MIN    61
2021 12 15 11 38 MAX   258
2021 12 15 17 42 MIN    92
2021 12 15 23 39 MAX   236
2021 12 16 05 37 MIN    49
2021 12 16 12 25 MAX   274
2021 12 16 18 27 MIN    86
2021 12 17 00 21 MAX   237
2021 12 17 06 13 MIN    39
2021 12 17 13 05 MAX   286
2021 12 17 19 05 MIN    81
2021 12 18 00 57 MAX   239
2021 12 18 06 45 MIN    31
2021 12 18 13 40 MAX   295
2021 12 18 19 40 MIN    79
2021 12 19 01 30 MAX   240
2021 12 19 07 16 MIN    26
2021 12 19 14 12 MAX   301
2021 12 19 20 12 MIN    79
2021 12 20 02 02 MAX   241
2021 12 20 07 46 MIN    22
2021 12 20 14 44 MAX   304
2021 12 20 20 43 MIN    80
2021 12 21 02 33 MAX   241
2021 12 21 08 18 MIN    20
2021 12 21 15 15 MAX   304
2021 12 21 21 15 MIN    81
2021 12 22 03 07 MAX   241
2021 12 22 08 52 MIN    20
2021 12 22 15 49 MAX   300
2021 12 22 21 49 MIN    82
2021 12 23 03 44 MAX   239
2021 12 23 09 29 MIN    24
2021 12 23 16 25 MAX   294
2021 12 23 22 26 MIN    83
2021 12 24 04 24 MAX   235
2021 12 24 10 10 MIN    32
2021 12 24 17 05 MAX   285
2021 12 24 23 08 MIN    84
2021 12 25 05 09 MAX   230
2021 12 25 10 55 MIN    43
2021 12 25 17 49 MAX   274
2021 12 25 23 55 MIN    84
2021 12 26 06 02 MAX   225
2021 12 26 11 46 MIN    57
2021 12 26 18 37 MAX   262
2021 12 27 00 49 MIN    82
2021 12 27 07 02 MAX   223
2021 12 27 12 47 MIN    72
2021 12 27 19 32 MAX   251
2021 12 28 01 49 MIN    75
2021 12 28 08 11 MAX   228
2021 12 28 14 01 MIN    84
2021 12 28 20 33 MAX   243
2021 12 29 02 51 MIN    62
2021 12 29 09 24 MAX   242
2021 12 29 15 22 MIN    87
2021 12 29 21 36 MAX   240
2021 12 30 03 50 MIN    44
2021 12 30 10 33 MAX   265
2021 12 30 16 37 MIN    82
2021 12 30 22 37 MAX   242
2021 12 31 04 45 MIN    23
2021 12 31 11 35 MAX   292
2021 12 31 17 40 MIN    72
2021 12 31 23 35 MAX   247
2022 01 01 05 36 MIN     3
2022 01 01 12 31 MAX   318
2022 01 01 18 36 MIN    62
2022 01 02 00 28 MAX   254
2022 01 02 06 25 MIN   -14
2022 01 02 13 24 MAX   337
2022 01 02 19 27 MIN    55
2022 01 03 01 20 MAX   260
2022 01 03 07 14 MIN   -25
2022 01 03 14 15 MAX   347
2022 01 03 20 15 MIN    52
2022 01 04 02 09 MAX   264
2022 01 04 08 01 MIN   -28
2022 01 04 15 04 MAX   348
2022 01 04 21 02 MIN    52
2022 01 05 02 59 MAX   265
2022 01 05 08 48 MIN   -21
2022 01 05 15 52 MAX   338
2022 01 05 21 47 MIN    56
2022 01 06 03 47 MAX   263
2022 01 06 09 36 MIN    -7
2022 01 06 16 38 MAX   322
2022 01 06 22 33 MIN    60
2022 01 07 04 37 MAX   258
2022 01 07 10 24 MIN    13
2022 01 07 17 24 MAX   301
2022 01 07 23 19 MIN    65
