<TOPS - 조위예측극치자료>

대상조위관측소 : 흑산도
위도(WGS84) : N  34도 41분 03초
경도(WGS84) : E 125도 26분 08초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 04 43 MIN    61
2021 12 01 11 15 MAX   294
2021 12 01 17 12 MIN    76
2021 12 01 23 27 MAX   289
2021 12 02 05 27 MIN    32
2021 12 02 12 08 MAX   326
2021 12 02 18 04 MIN    64
2021 12 03 00 13 MAX   296
2021 12 03 06 08 MIN     7
2021 12 03 12 58 MAX   353
2021 12 03 18 52 MIN    57
2021 12 04 00 58 MAX   300
2021 12 04 06 50 MIN   -11
2021 12 04 13 45 MAX   373
2021 12 04 19 39 MIN    57
2021 12 05 01 42 MAX   300
2021 12 05 07 31 MIN   -21
2021 12 05 14 33 MAX   382
2021 12 05 20 26 MIN    62
2021 12 06 02 27 MAX   296
2021 12 06 08 15 MIN   -20
2021 12 06 15 21 MAX   382
2021 12 06 21 14 MIN    70
2021 12 07 03 14 MAX   289
2021 12 07 09 01 MIN   -10
2021 12 07 16 10 MAX   372
2021 12 07 22 05 MIN    81
2021 12 08 04 04 MAX   279
2021 12 08 09 50 MIN     8
2021 12 08 17 00 MAX   354
2021 12 08 22 59 MIN    90
2021 12 09 04 57 MAX   266
2021 12 09 10 43 MIN    32
2021 12 09 17 53 MAX   332
2021 12 09 23 59 MIN    98
2021 12 10 05 55 MAX   253
2021 12 10 11 42 MIN    58
2021 12 10 18 49 MAX   308
2021 12 11 01 04 MIN   102
2021 12 11 07 02 MAX   243
2021 12 11 12 50 MIN    83
2021 12 11 19 51 MAX   285
2021 12 12 02 12 MIN   100
2021 12 12 08 19 MAX   239
2021 12 12 14 12 MIN   102
2021 12 12 20 57 MAX   267
2021 12 13 03 18 MIN    94
2021 12 13 09 40 MAX   245
2021 12 13 15 38 MIN   110
2021 12 13 22 02 MAX   255
2021 12 14 04 16 MIN    83
2021 12 14 10 51 MAX   259
2021 12 14 16 52 MIN   109
2021 12 14 22 59 MAX   250
2021 12 15 05 04 MIN    71
2021 12 15 11 49 MAX   277
2021 12 15 17 50 MIN   104
2021 12 15 23 47 MAX   250
2021 12 16 05 44 MIN    59
2021 12 16 12 35 MAX   293
2021 12 16 18 35 MIN    98
2021 12 17 00 28 MAX   251
2021 12 17 06 19 MIN    49
2021 12 17 13 14 MAX   306
2021 12 17 19 13 MIN    94
2021 12 18 01 03 MAX   255
2021 12 18 06 51 MIN    41
2021 12 18 13 48 MAX   316
2021 12 18 19 46 MIN    90
2021 12 19 01 36 MAX   258
2021 12 19 07 23 MIN    36
2021 12 19 14 21 MAX   322
2021 12 19 20 19 MIN    89
2021 12 20 02 08 MAX   260
2021 12 20 07 54 MIN    33
2021 12 20 14 53 MAX   326
2021 12 20 20 50 MIN    88
2021 12 21 02 41 MAX   261
2021 12 21 08 25 MIN    32
2021 12 21 15 25 MAX   326
2021 12 21 21 23 MIN    89
2021 12 22 03 15 MAX   260
2021 12 22 08 59 MIN    33
2021 12 22 15 59 MAX   324
2021 12 22 21 57 MIN    91
2021 12 23 03 51 MAX   258
2021 12 23 09 34 MIN    36
2021 12 23 16 34 MAX   319
2021 12 23 22 34 MIN    93
2021 12 24 04 30 MAX   254
2021 12 24 10 14 MIN    42
2021 12 24 17 12 MAX   311
2021 12 24 23 14 MIN    94
2021 12 25 05 13 MAX   250
2021 12 25 10 58 MIN    51
2021 12 25 17 54 MAX   301
2021 12 26 00 00 MIN    93
2021 12 26 00 00 MIN    93
2021 12 26 06 03 MAX   246
2021 12 26 11 49 MIN    64
2021 12 26 18 41 MAX   288
2021 12 27 00 52 MIN    90
2021 12 27 07 03 MAX   245
2021 12 27 12 51 MIN    80
2021 12 27 19 36 MAX   274
2021 12 28 01 51 MIN    83
2021 12 28 08 14 MAX   251
2021 12 28 14 07 MIN    93
2021 12 28 20 38 MAX   264
2021 12 29 02 53 MIN    70
2021 12 29 09 29 MAX   266
2021 12 29 15 29 MIN    98
2021 12 29 21 43 MAX   258
2021 12 30 03 54 MIN    51
2021 12 30 10 42 MAX   290
2021 12 30 16 44 MIN    95
2021 12 30 22 45 MAX   260
2021 12 31 04 50 MIN    30
2021 12 31 11 46 MAX   317
2021 12 31 17 48 MIN    87
2021 12 31 23 43 MAX   266
2022 01 01 05 42 MIN     9
2022 01 01 12 42 MAX   342
2022 01 01 18 43 MIN    78
2022 01 02 00 36 MAX   273
2022 01 02 06 31 MIN    -7
2022 01 02 13 35 MAX   361
2022 01 02 19 33 MIN    71
2022 01 03 01 27 MAX   280
2022 01 03 07 19 MIN   -17
2022 01 03 14 24 MAX   371
2022 01 03 20 21 MIN    66
2022 01 04 02 17 MAX   285
2022 01 04 08 06 MIN   -19
2022 01 04 15 12 MAX   372
2022 01 04 21 06 MIN    64
2022 01 05 03 06 MAX   286
2022 01 05 08 53 MIN   -13
2022 01 05 15 58 MAX   365
2022 01 05 21 52 MIN    64
2022 01 06 03 55 MAX   283
2022 01 06 09 40 MIN     1
2022 01 06 16 43 MAX   350
2022 01 06 22 38 MIN    66
2022 01 07 04 44 MAX   276
2022 01 07 10 28 MIN    21
2022 01 07 17 28 MAX   329
2022 01 07 23 25 MIN    70
2022 01 08 05 35 MAX   266
2022 01 08 11 17 MIN    46
2022 01 08 18 13 MAX   304
2022 01 09 00 15 MIN    75
2022 01 09 06 30 MAX   255
2022 01 09 12 11 MIN    74
2022 01 09 18 59 MAX   276
2022 01 10 01 08 MIN    81
2022 01 10 07 31 MAX   244
2022 01 10 13 16 MIN   101
2022 01 10 19 52 MAX   250
2022 01 11 02 06 MIN    85
2022 01 11 08 43 MAX   239
2022 01 11 14 38 MIN   122
2022 01 11 20 53 MAX   230
2022 01 12 03 09 MIN    86
2022 01 12 10 03 MAX   243
2022 01 12 16 11 MIN   129
2022 01 12 22 01 MAX   219
2022 01 13 04 11 MIN    82
2022 01 13 11 15 MAX   257
2022 01 13 17 29 MIN   125
2022 01 13 23 04 MAX   218
2022 01 14 05 06 MIN    73
2022 01 14 12 12 MAX   273
2022 01 14 18 23 MIN   116
2022 01 14 23 57 MAX   225
2022 01 15 05 53 MIN    63
2022 01 15 12 57 MAX   289
2022 01 15 19 03 MIN   106
2022 01 16 00 40 MAX   235
2022 01 16 06 32 MIN    51
2022 01 16 13 34 MAX   302
2022 01 16 19 37 MIN    97
2022 01 17 01 18 MAX   246
2022 01 17 07 08 MIN    41
2022 01 17 14 07 MAX   312
2022 01 17 20 07 MIN    89
2022 01 18 01 53 MAX   256
2022 01 18 07 41 MIN    32
2022 01 18 14 38 MAX   319
2022 01 18 20 35 MIN    82
2022 01 19 02 28 MAX   263
2022 01 19 08 13 MIN    25
2022 01 19 15 10 MAX   324
2022 01 19 21 05 MIN    76
2022 01 20 03 02 MAX   268
2022 01 20 08 46 MIN    20
2022 01 20 15 41 MAX   327
2022 01 20 21 35 MIN    70
2022 01 21 03 38 MAX   272
2022 01 21 09 21 MIN    18
2022 01 21 16 14 MAX   325
2022 01 21 22 07 MIN    65
2022 01 22 04 16 MAX   273
2022 01 22 09 58 MIN    21
2022 01 22 16 48 MAX   320
2022 01 22 22 42 MIN    61
2022 01 23 04 56 MAX   274
2022 01 23 10 38 MIN    30
2022 01 23 17 24 MAX   309
2022 01 23 23 20 MIN    58
2022 01 24 05 41 MAX   273
2022 01 24 11 25 MIN    47
2022 01 24 18 05 MAX   293
2022 01 25 00 04 MIN    57
2022 01 25 06 33 MAX   271
2022 01 25 12 18 MIN    70
2022 01 25 18 50 MAX   273
2022 01 26 00 55 MIN    57
2022 01 26 07 35 MAX   269
2022 01 26 13 25 MIN    95
2022 01 26 19 46 MAX   254
2022 01 27 01 57 MIN    57
2022 01 27 08 51 MAX   272
2022 01 27 14 52 MIN   113
2022 01 27 20 55 MAX   239
2022 01 28 03 08 MIN    53
2022 01 28 10 14 MAX   284
2022 01 28 16 26 MIN   117
2022 01 28 22 11 MAX   235
2022 01 29 04 21 MIN    42
2022 01 29 11 31 MAX   304
2022 01 29 17 43 MIN   107
2022 01 29 23 24 MAX   244
2022 01 30 05 27 MIN    25
2022 01 30 12 35 MAX   327
2022 01 30 18 41 MIN    91
2022 01 31 00 27 MAX   259
2022 01 31 06 23 MIN     8
2022 01 31 13 28 MAX   346
2022 01 31 19 28 MIN    74
2022 02 01 01 21 MAX   275
2022 02 01 07 14 MIN    -6
2022 02 01 14 16 MAX   357
2022 02 01 20 11 MIN    61
2022 02 02 02 11 MAX   288
2022 02 02 08 00 MIN   -12
2022 02 02 14 59 MAX   360
2022 02 02 20 50 MIN    50
2022 02 03 02 58 MAX   295
2022 02 03 08 43 MIN   -10
2022 02 03 15 40 MAX   355
2022 02 03 21 29 MIN    44
2022 02 04 03 42 MAX   297
2022 02 04 09 25 MIN     1
2022 02 04 16 18 MAX   341
2022 02 04 22 08 MIN    43
2022 02 05 04 26 MAX   293
2022 02 05 10 07 MIN    19
2022 02 05 16 55 MAX   322
2022 02 05 22 46 MIN    46
2022 02 06 05 09 MAX   284
2022 02 06 10 48 MIN    43
2022 02 06 17 31 MAX   297
2022 02 06 23 24 MIN    53
2022 02 07 05 54 MAX   272
2022 02 07 11 33 MIN    72
2022 02 07 18 07 MAX   270
2022 02 08 00 05 MIN    64
2022 02 08 06 42 MAX   258
2022 02 08 12 24 MIN   102
2022 02 08 18 45 MAX   242
2022 02 09 00 51 MIN    77
2022 02 09 07 40 MAX   245
2022 02 09 13 32 MIN   129
2022 02 09 19 33 MAX   218
2022 02 10 01 49 MIN    89
2022 02 10 08 56 MAX   238
2022 02 10 15 16 MIN   145
2022 02 10 20 42 MAX   201
2022 02 11 03 04 MIN    96
2022 02 11 10 29 MAX   242
2022 02 11 17 03 MIN   143
2022 02 11 22 12 MAX   198
2022 02 12 04 23 MIN    93
2022 02 12 11 45 MAX   257
2022 02 12 18 07 MIN   130
2022 02 12 23 27 MAX   209
2022 02 13 05 27 MIN    80
2022 02 13 12 36 MAX   275
2022 02 13 18 47 MIN   115
2022 02 14 00 20 MAX   227
2022 02 14 06 15 MIN    64
2022 02 14 13 15 MAX   292
2022 02 14 19 17 MIN    99
2022 02 15 01 01 MAX   245
2022 02 15 06 53 MIN    47
2022 02 15 13 47 MAX   306
2022 02 15 19 45 MIN    85
2022 02 16 01 38 MAX   262
2022 02 16 07 26 MIN    32
2022 02 16 14 18 MAX   317
2022 02 16 20 11 MIN    71
2022 02 17 02 12 MAX   276
2022 02 17 07 58 MIN    19
2022 02 17 14 47 MAX   326
2022 02 17 20 38 MIN    57
2022 02 18 02 47 MAX   287
2022 02 18 08 30 MIN    10
2022 02 18 15 17 MAX   331
2022 02 18 21 06 MIN    46
2022 02 19 03 22 MAX   296
2022 02 19 09 04 MIN     7
2022 02 19 15 48 MAX   330
2022 02 19 21 36 MIN    36
2022 02 20 03 59 MAX   303
2022 02 20 09 41 MIN    12
2022 02 20 16 21 MAX   324
2022 02 20 22 09 MIN    30
2022 02 21 04 38 MAX   307
2022 02 21 10 20 MIN    25
2022 02 21 16 55 MAX   311
2022 02 21 22 45 MIN    28
2022 02 22 05 21 MAX   305
2022 02 22 11 04 MIN    47
2022 02 22 17 32 MAX   291
2022 02 22 23 25 MIN    32
2022 02 23 06 09 MAX   299
2022 02 23 11 54 MIN    76
2022 02 23 18 14 MAX   268
2022 02 24 00 13 MIN    42
2022 02 24 07 08 MAX   288
2022 02 24 12 58 MIN   107
2022 02 24 19 07 MAX   244
2022 02 25 01 15 MIN    56
2022 02 25 08 23 MAX   278
2022 02 25 14 32 MIN   131
2022 02 25 20 19 MAX   225
2022 02 26 02 35 MIN    65
2022 02 26 09 56 MAX   279
2022 02 26 16 24 MIN   132
2022 02 26 21 54 MAX   221
2022 02 27 04 06 MIN    61
2022 02 27 11 24 MAX   295
2022 02 27 17 43 MIN   114
2022 02 27 23 21 MAX   236
2022 02 28 05 23 MIN    45
2022 02 28 12 29 MAX   316
2022 02 28 18 36 MIN    91
2022 03 01 00 26 MAX   260
2022 03 01 06 21 MIN    25
2022 03 01 13 19 MAX   333
2022 03 01 19 17 MIN    69
2022 03 02 01 18 MAX   283
2022 03 02 07 08 MIN    10
2022 03 02 14 01 MAX   344
2022 03 02 19 53 MIN    50
2022 03 03 02 04 MAX   300
2022 03 03 07 50 MIN     2
2022 03 03 14 40 MAX   346
2022 03 03 20 27 MIN    36
2022 03 04 02 46 MAX   310
2022 03 04 08 29 MIN     4
2022 03 04 15 14 MAX   340
2022 03 04 21 00 MIN    28
2022 03 05 03 25 MAX   314
2022 03 05 09 06 MIN    13
2022 03 05 15 48 MAX   327
2022 03 05 21 33 MIN    27
2022 03 06 04 04 MAX   311
2022 03 06 09 43 MIN    30
2022 03 06 16 20 MAX   309
2022 03 06 22 05 MIN    31
2022 03 07 04 42 MAX   304
2022 03 07 10 21 MIN    52
2022 03 07 16 50 MAX   288
2022 03 07 22 38 MIN    39
2022 03 08 05 19 MAX   293
2022 03 08 11 01 MIN    78
2022 03 08 17 20 MAX   265
2022 03 08 23 12 MIN    53
2022 03 09 06 00 MAX   279
2022 03 09 11 46 MIN   106
2022 03 09 17 52 MAX   241
2022 03 09 23 50 MIN    70
2022 03 10 06 47 MAX   263
2022 03 10 12 43 MIN   133
2022 03 10 18 31 MAX   219
2022 03 11 00 38 MIN    88
2022 03 11 07 50 MAX   248
2022 03 11 14 17 MIN   153
2022 03 11 19 29 MAX   201
2022 03 12 01 52 MIN   105
2022 03 12 09 24 MAX   240
2022 03 12 16 19 MIN   153
2022 03 12 21 10 MAX   193
2022 03 13 03 33 MIN   109
2022 03 13 11 03 MAX   250
2022 03 13 17 33 MIN   138
2022 03 13 22 52 MAX   205
2022 03 14 04 55 MIN    96
2022 03 14 12 03 MAX   267
2022 03 14 18 15 MIN   119
2022 03 14 23 54 MAX   228
2022 03 15 05 49 MIN    76
2022 03 15 12 44 MAX   286
2022 03 15 18 45 MIN    98
2022 03 16 00 38 MAX   252
2022 03 16 06 29 MIN    55
2022 03 16 13 17 MAX   303
2022 03 16 19 12 MIN    77
2022 03 17 01 15 MAX   275
2022 03 17 07 04 MIN    36
2022 03 17 13 47 MAX   317
2022 03 17 19 38 MIN    56
2022 03 18 01 51 MAX   295
