20211214	11-11	07:35:  	12:27:37	17:20:  	14:27:  	21:02:  	02:48:  	07:07:  	17:48:  	06:35:  	18:20:  	06:04:  	18:52:  
20211215	11-12	07:36:  	12:28:06	17:20:  	14:54:  	21:45:  	03:46:  	07:07:  	17:49:  	06:35:  	18:21:  	06:04:  	18:52:  
20211216	11-13	07:37:  	12:28:35	17:20:  	15:22:  	22:28:  	04:44:  	07:08:  	17:49:  	06:36:  	18:21:  	06:05:  	18:52:  
20211217	11-14	07:37:  	12:29:04	17:21:  	15:55:  	23:14:  	05:42:  	07:09:  	17:49:  	06:37:  	18:21:  	06:05:  	18:53:  
20211218	11-15	07:38:  	12:29:33	17:21:  	16:32:  	--:--:  	06:41:  	07:09:  	17:50:  	06:37:  	18:22:  	06:06:  	18:53:  
20211219	11-16	07:38:  	12:30:03	17:22:  	17:15:  	00:03:  	07:38:  	07:10:  	17:50:  	06:38:  	18:22:  	06:07:  	18:54:  
20211220	11-17	07:39:  	12:30:32	17:22:  	18:05:  	00:53:  	08:32:  	07:10:  	17:51:  	06:38:  	18:23:  	06:07:  	18:54:  
20211221	11-18	07:40:  	12:31:02	17:23:  	18:59:  	01:44:  	09:21:  	07:11:  	17:51:  	06:39:  	18:23:  	06:08:  	18:54:  
20211222	11-19	07:40:  	12:31:32	17:23:  	19:57:  	02:34:  	10:05:  	07:11:  	17:52:  	06:39:  	18:24:  	06:08:  	18:55:  
20211223	11-20	07:41:  	12:32:01	17:24:  	20:58:  	03:24:  	10:44:  	07:12:  	17:52:  	06:40:  	18:24:  	06:09:  	18:56:  
20211224	11-21	07:41:  	12:32:31	17:24:  	21:59:  	04:12:  	11:17:  	07:12:  	17:53:  	06:40:  	18:25:  	06:09:  	18:56:  
20211225	11-22	07:41:  	12:33:01	17:25:  	23:01:  	04:58:  	11:48:  	07:13:  	17:53:  	06:41:  	18:25:  	06:09:  	18:57:  
20211226	11-23	07:42:  	12:33:31	17:25:  	--:--:  	05:43:  	12:16:  	07:13:  	17:54:  	06:41:  	18:26:  	06:10:  	18:57:  
20211227	11-24	07:42:  	12:34:00	17:26:  	00:04:  	06:28:  	12:43:  	07:14:  	17:54:  	06:41:  	18:27:  	06:10:  	18:58:  
20211228	11-25	07:42:  	12:34:30	17:27:  	01:08:  	07:14:  	13:11:  	07:14:  	17:55:  	06:42:  	18:27:  	06:11:  	18:58:  
20211229	11-26	07:43:  	12:34:59	17:27:  	02:14:  	08:02:  	13:41:  	07:14:  	17:56:  	06:42:  	18:28:  	06:11:  	18:59:  
20211230	11-27	07:43:  	12:35:28	17:28:  	03:24:  	08:54:  	14:15:  	07:15:  	17:56:  	06:42:  	18:29:  	06:11:  	19:00:  
20211231	11-28	07:43:  	12:35:57	17:29:  	04:38:  	09:50:  	14:56:  	07:15:  	17:57:  	06:43:  	18:29:  	06:12:  	19:00:  
20220101	11-29	07:43:  	12:36:26	17:29:  	05:54:  	10:52:  	15:45:  	07:15:  	17:58:  	06:43:  	18:30:  	06:12:  	19:01:  
20220102	11-30	07:44:  	12:36:54	17:30:  	07:08:  	11:57:  	16:45:  	07:15:  	17:59:  	06:43:  	18:31:  	06:12:  	19:02:  
20220103	12-01	07:44:  	12:37:22	17:31:  	08:16:  	13:04:  	17:54:  	07:15:  	17:59:  	06:43:  	18:31:  	06:12:  	19:03:  
20220104	12-02	07:44:  	12:37:49	17:32:  	09:13:  	14:08:  	19:07:  	07:16:  	18:00:  	06:44:  	18:32:  	06:13:  	19:03:  
20220105	12-03	07:44:  	12:38:16	17:33:  	10:00:  	15:07:  	20:20:  	07:16:  	18:01:  	06:44:  	18:33:  	06:13:  	19:04:  
20220106	12-04	07:44:  	12:38:43	17:34:  	10:38:  	16:01:  	21:31:  	07:16:  	18:02:  	06:44:  	18:34:  	06:13:  	19:05:  
20220107	12-05	07:44:  	12:39:09	17:34:  	11:11:  	16:50:  	22:37:  	07:16:  	18:03:  	06:44:  	18:35:  	06:13:  	19:06:  
20220108	12-06	07:44:  	12:39:35	17:35:  	11:39:  	17:35:  	23:39:  	07:16:  	18:04:  	06:44:  	18:35:  	06:13:  	19:06:  
20220109	12-07	07:44:  	12:40:00	17:36:  	12:05:  	18:18:  	--:--:  	07:16:  	18:04:  	06:44:  	18:36:  	06:13:  	19:07:  
20220110	12-08	07:44:  	12:40:25	17:37:  	12:30:  	19:00:  	00:39:  	07:16:  	18:05:  	06:44:  	18:37:  	06:13:  	19:08:  
20220111	12-09	07:44:  	12:40:49	17:38:  	12:56:  	19:42:  	01:38:  	07:16:  	18:06:  	06:44:  	18:38:  	06:13:  	19:09:  
20220112	12-10	07:44:  	12:41:13	17:39:  	13:24:  	20:26:  	02:37:  	07:16:  	18:07:  	06:44:  	18:39:  	06:13:  	19:10:  
20220113	12-11	07:43:  	12:41:35	17:40:  	13:55:  	21:11:  	03:35:  	07:15:  	18:08:  	06:44:  	18:40:  	06:13:  	19:10:  
20220114	12-12	07:43:  	12:41:58	17:41:  	14:31:  	21:58:  	04:34:  	07:15:  	18:09:  	06:44:  	18:40:  	06:13:  	19:11:  
20220115	12-13	07:43:  	12:42:19	17:42:  	15:12:  	22:48:  	05:31:  	07:15:  	18:10:  	06:44:  	18:41:  	06:13:  	19:12:  
20220116	12-14	07:43:  	12:42:40	17:43:  	15:59:  	23:39:  	06:26:  	07:15:  	18:11:  	06:43:  	18:42:  	06:13:  	19:13:  
20220117	12-15	07:42:  	12:43:00	17:44:  	16:53:  	--:--:  	07:18:  	07:15:  	18:12:  	06:43:  	18:43:  	06:12:  	19:14:  
20220118	12-16	07:42:  	12:43:20	17:45:  	17:51:  	00:30:  	08:04:  	07:14:  	18:13:  	06:43:  	18:44:  	06:12:  	19:15:  
20220119	12-17	07:42:  	12:43:38	17:46:  	18:51:  	01:20:  	08:44:  	07:14:  	18:14:  	06:43:  	18:45:  	06:12:  	19:16:  
20220120	12-18	07:41:  	12:43:56	17:47:  	19:53:  	02:09:  	09:19:  	07:14:  	18:15:  	06:42:  	18:46:  	06:12:  	19:16:  
20220121	12-19	07:41:  	12:44:14	17:48:  	20:55:  	02:56:  	09:51:  	07:13:  	18:16:  	06:42:  	18:47:  	06:11:  	19:17:  
20220122	12-20	07:40:  	12:44:30	17:49:  	21:57:  	03:42:  	10:19:  	07:13:  	18:17:  	06:42:  	18:48:  	06:11:  	19:18:  
20220123	12-21	07:40:  	12:44:46	17:50:  	23:00:  	04:26:  	10:46:  	07:12:  	18:18:  	06:41:  	18:49:  	06:11:  	19:19:  
20220124	12-22	07:39:  	12:45:01	17:51:  	--:--:  	05:11:  	11:13:  	07:12:  	18:19:  	06:41:  	18:50:  	06:10:  	19:20:  
20220125	12-23	07:39:  	12:45:15	17:52:  	00:04:  	05:57:  	11:41:  	07:11:  	18:20:  	06:40:  	18:51:  	06:10:  	19:21:  
20220126	12-24	07:38:  	12:45:29	17:53:  	01:11:  	06:46:  	12:13:  	07:11:  	18:21:  	06:40:  	18:51:  	06:09:  	19:22:  
20220127	12-25	07:37:  	12:45:41	17:54:  	02:20:  	07:38:  	12:49:  	07:10:  	18:22:  	06:39:  	18:52:  	06:09:  	19:23:  
20220128	12-26	07:37:  	12:45:53	17:55:  	03:32:  	08:35:  	13:33:  	07:10:  	18:22:  	06:39:  	18:53:  	06:08:  	19:24:  
20220129	12-27	07:36:  	12:46:04	17:56:  	04:45:  	09:37:  	14:26:  	07:09:  	18:23:  	06:38:  	18:54:  	06:08:  	19:25:  
20220130	12-28	07:35:  	12:46:15	17:57:  	05:54:  	10:41:  	15:29:  	07:08:  	18:24:  	06:38:  	18:55:  	06:07:  	19:26:  
20220131	12-29	07:35:  	12:46:24	17:58:  	06:56:  	11:46:  	16:40:  	07:08:  	18:25:  	06:37:  	18:56:  	06:07:  	19:26:  
20220201	01-01	07:34:  	12:46:33	18:00:  	07:48:  	12:48:  	17:53:  	07:07:  	18:26:  	06:36:  	18:57:  	06:06:  	19:27:  
20220202	01-02	07:33:  	12:46:41	18:01:  	08:30:  	13:45:  	19:06:  	07:06:  	18:27:  	06:36:  	18:58:  	06:06:  	19:28:  
20220203	01-03	07:32:  	12:46:48	18:02:  	09:06:  	14:37:  	20:16:  	07:06:  	18:28:  	06:35:  	18:59:  	06:05:  	19:29:  
20220204	01-04	07:32:  	12:46:54	18:03:  	09:36:  	15:25:  	21:22:  	07:05:  	18:29:  	06:34:  	19:00:  	06:04:  	19:30:  
20220205	01-05	07:31:  	12:46:59	18:04:  	10:04:  	16:10:  	22:25:  	07:04:  	18:30:  	06:33:  	19:01:  	06:03:  	19:31:  
20220206	01-06	07:30:  	12:47:04	18:05:  	10:30:  	16:54:  	23:26:  	07:03:  	18:31:  	06:33:  	19:02:  	06:03:  	19:32:  
20220207	01-07	07:29:  	12:47:08	18:06:  	10:57:  	17:37:  	--:--:  	07:02:  	18:32:  	06:32:  	19:03:  	06:02:  	19:33:  
20220208	01-08	07:28:  	12:47:11	18:07:  	11:24:  	18:21:  	00:26:  	07:01:  	18:33:  	06:31:  	19:04:  	06:01:  	19:34:  
20220209	01-09	07:27:  	12:47:13	18:08:  	11:54:  	19:06:  	01:25:  	07:00:  	18:34:  	06:30:  	19:05:  	06:00:  	19:35:  
20220210	01-10	07:26:  	12:47:14	18:09:  	12:28:  	19:52:  	02:24:  	07:00:  	18:35:  	06:29:  	19:06:  	05:59:  	19:36:  
20220211	01-11	07:25:  	12:47:15	18:10:  	13:07:  	20:41:  	03:23:  	06:59:  	18:36:  	06:28:  	19:07:  	05:59:  	19:36:  
20220212	01-12	07:24:  	12:47:15	18:11:  	13:53:  	21:32:  	04:19:  	06:58:  	18:37:  	06:27:  	19:08:  	05:58:  	19:37:  
20220213	01-13	07:23:  	12:47:14	18:12:  	14:44:  	22:23:  	05:12:  	06:57:  	18:38:  	06:27:  	19:08:  	05:57:  	19:38:  
20220214	01-14	07:22:  	12:47:12	18:13:  	15:41:  	23:14:  	05:59:  	06:56:  	18:39:  	06:26:  	19:09:  	05:56:  	19:39:  
20220215	01-15	07:21:  	12:47:09	18:14:  	16:41:  	--:--:  	06:42:  	06:55:  	18:40:  	06:25:  	19:10:  	05:55:  	19:40:  
20220216	01-16	07:20:  	12:47:06	18:15:  	17:43:  	00:04:  	07:19:  	06:54:  	18:41:  	06:24:  	19:11:  	05:54:  	19:41:  
20220217	01-17	07:19:  	12:47:02	18:16:  	18:47:  	00:52:  	07:52:  	06:52:  	18:42:  	06:22:  	19:12:  	05:53:  	19:42:  
20220218	01-18	07:17:  	12:46:57	18:17:  	19:50:  	01:39:  	08:22:  	06:51:  	18:43:  	06:21:  	19:13:  	05:52:  	19:43:  
20220219	01-19	07:16:  	12:46:52	18:18:  	20:53:  	02:24:  	08:49:  	06:50:  	18:44:  	06:20:  	19:14:  	05:51:  	19:44:  
20220220	01-20	07:15:  	12:46:46	18:19:  	21:58:  	03:10:  	09:17:  	06:49:  	18:45:  	06:19:  	19:15:  	05:50:  	19:45:  
20220221	01-21	07:14:  	12:46:40	18:20:  	23:04:  	03:55:  	09:44:  	06:48:  	18:46:  	06:18:  	19:16:  	05:48:  	19:45:  
20220222	01-22	07:13:  	12:46:32	18:21:  	--:--:  	04:43:  	10:14:  	06:47:  	18:47:  	06:17:  	19:17:  	05:47:  	19:46:  
20220223	01-23	07:11:  	12:46:24	18:22:  	00:12:  	05:34:  	10:48:  	06:46:  	18:48:  	06:16:  	19:18:  	05:46:  	19:47:  
20220224	01-24	07:10:  	12:46:16	18:23:  	01:22:  	06:28:  	11:29:  	06:44:  	18:49:  	06:15:  	19:18:  	05:45:  	19:48:  
20220225	01-25	07:09:  	12:46:07	18:24:  	02:33:  	07:27:  	12:17:  	06:43:  	18:50:  	06:13:  	19:19:  	05:44:  	19:49:  
20220226	01-26	07:08:  	12:45:57	18:25:  	03:42:  	08:28:  	13:14:  	06:42:  	18:51:  	06:12:  	19:20:  	05:43:  	19:50:  
20220227	01-27	07:06:  	12:45:47	18:26:  	04:44:  	09:31:  	14:20:  	06:41:  	18:51:  	06:11:  	19:21:  	05:41:  	19:51:  
20220228	01-28	07:05:  	12:45:37	18:27:  	05:38:  	10:32:  	15:31:  	06:39:  	18:52:  	06:10:  	19:22:  	05:40:  	19:52:  
20220301	01-29	07:04:  	12:45:25	18:28:  	06:23:  	11:30:  	16:44:  	06:38:  	18:53:  	06:08:  	19:23:  	05:39:  	19:53:  
20220302	01-30	07:03:  	12:45:14	18:28:  	07:01:  	12:24:  	17:54:  	06:37:  	18:54:  	06:07:  	19:24:  	05:38:  	19:54:  
20220303	02-01	07:01:  	12:45:02	18:29:  	07:33:  	13:13:  	19:02:  	06:36:  	18:55:  	06:06:  	19:25:  	05:36:  	19:54:  
20220304	02-02	07:00:  	12:44:49	18:30:  	08:02:  	14:00:  	20:07:  	06:34:  	18:56:  	06:05:  	19:26:  	05:35:  	19:55:  
20220305	02-03	06:59:  	12:44:36	18:31:  	08:29:  	14:45:  	21:10:  	06:33:  	18:57:  	06:03:  	19:27:  	05:34:  	19:56:  
20220306	02-04	06:57:  	12:44:22	18:32:  	08:55:  	15:29:  	22:12:  	06:32:  	18:58:  	06:02:  	19:27:  	05:32:  	19:57:  
20220307	02-05	06:56:  	12:44:08	18:33:  	09:23:  	16:13:  	23:12:  	06:30:  	18:59:  	06:01:  	19:28:  	05:31:  	19:58:  
20220308	02-06	06:54:  	12:43:54	18:34:  	09:52:  	16:58:  	--:--:  	06:29:  	19:00:  	05:59:  	19:29:  	05:29:  	19:59:  
20220309	02-07	06:53:  	12:43:39	18:35:  	10:25:  	17:45:  	00:13:  	06:27:  	19:00:  	05:58:  	19:30:  	05:28:  	20:00:  
20220310	02-08	06:52:  	12:43:24	18:36:  	11:02:  	18:33:  	01:12:  	06:26:  	19:01:  	05:56:  	19:31:  	05:27:  	20:01:  
20220311	02-09	06:50:  	12:43:09	18:37:  	11:45:  	19:23:  	02:10:  	06:25:  	19:02:  	05:55:  	19:32:  	05:25:  	20:02:  
20220312	02-10	06:49:  	12:42:53	18:37:  	12:34:  	20:14:  	03:04:  	06:23:  	19:03:  	05:54:  	19:33:  	05:24:  	20:03:  
20220313	02-11	06:47:  	12:42:37	18:38:  	13:28:  	21:05:  	03:54:  	06:22:  	19:04:  	05:52:  	19:34:  	05:22:  	20:04:  
20220314	02-12	06:46:  	12:42:20	18:39:  	14:27:  	21:55:  	04:38:  	06:21:  	19:05:  	05:51:  	19:35:  	05:21:  	20:04:  
20220315	02-13	06:45:  	12:42:04	18:40:  	15:29:  	22:44:  	05:17:  	06:19:  	19:06:  	05:49:  	19:35:  	05:19:  	20:05:  
20220316	02-14	06:43:  	12:41:47	18:41:  	16:32:  	23:32:  	05:51:  	06:18:  	19:07:  	05:48:  	19:36:  	05:18:  	20:06:  
20220317	02-15	06:42:  	12:41:29	18:42:  	17:36:  	--:--:  	06:22:  	06:16:  	19:07:  	05:46:  	19:37:  	05:16:  	20:07:  
20220318	02-16	06:40:  	12:41:12	18:43:  	18:41:  	00:18:  	06:51:  	06:15:  	19:08:  	05:45:  	19:38:  	05:15:  	20:08:  
20220319	02-17	06:39:  	12:40:55	18:44:  	19:46:  	01:04:  	07:18:  	06:13:  	19:09:  	05:44:  	19:39:  	05:13:  	20:09:  
20220320	02-18	06:37:  	12:40:37	18:44:  	20:53:  	01:51:  	07:46:  	06:12:  	19:10:  	05:42:  	19:40:  	05:12:  	20:10:  
20220321	02-19	06:36:  	12:40:19	18:45:  	22:03:  	02:39:  	08:16:  	06:10:  	19:11:  	05:41:  	19:41:  	05:10:  	20:11:  
20220322	02-20	06:35:  	12:40:01	18:46:  	23:14:  	03:30:  	08:49:  	06:09:  	19:12:  	05:39:  	19:42:  	05:09:  	20:12:  
20220323	02-21	06:33:  	12:39:43	18:47:  	--:--:  	04:24:  	09:27:  	06:08:  	19:13:  	05:38:  	19:43:  	05:07:  	20:13:  
20220324	02-22	06:32:  	12:39:25	18:48:  	00:26:  	05:22:  	10:13:  	06:06:  	19:13:  	05:36:  	19:43:  	05:06:  	20:14:  
20220325	02-23	06:30:  	12:39:07	18:49:  	01:35:  	06:22:  	11:08:  	06:05:  	19:14:  	05:35:  	19:44:  	05:04:  	20:15:  
20220326	02-24	06:29:  	12:38:49	18:49:  	02:39:  	07:24:  	12:10:  	06:03:  	19:15:  	05:33:  	19:45:  	05:03:  	20:16:  
20220327	02-25	06:27:  	12:38:31	18:50:  	03:35:  	08:25:  	13:19:  	06:02:  	19:16:  	05:32:  	19:46:  	05:01:  	20:17:  
20220328	02-26	06:26:  	12:38:13	18:51:  	04:21:  	09:22:  	14:29:  	06:00:  	19:17:  	05:30:  	19:47:  	04:59:  	20:18:  
20220329	02-27	06:24:  	12:37:55	18:52:  	05:00:  	10:16:  	15:39:  	05:59:  	19:18:  	05:29:  	19:48:  	04:58:  	20:19:  
20220330	02-28	06:23:  	12:37:37	18:53:  	05:33:  	11:06:  	16:46:  	05:57:  	19:19:  	05:27:  	19:49:  	04:56:  	20:20:  
20220331	02-29	06:22:  	12:37:19	18:54:  	06:02:  	11:52:  	17:51:  	05:56:  	19:19:  	05:26:  	19:50:  	04:55:  	20:21:  
20220401	03-01	06:20:  	12:37:01	18:54:  	06:29:  	12:37:  	18:55:  	05:54:  	19:20:  	05:24:  	19:51:  	04:53:  	20:22:  
20220402	03-02	06:19:  	12:36:44	18:55:  	06:55:  	13:21:  	19:57:  	05:53:  	19:21:  	05:23:  	19:52:  	04:51:  	20:23:  
20220403	03-03	06:17:  	12:36:26	18:56:  	07:22:  	14:05:  	20:58:  	05:51:  	19:22:  	05:21:  	19:53:  	04:50:  	20:24:  
20220404	03-04	06:16:  	12:36:09	18:57:  	07:50:  	14:50:  	21:59:  	05:50:  	19:23:  	05:20:  	19:54:  	04:48:  	20:25:  
20220405	03-05	06:14:  	12:35:51	18:58:  	08:22:  	15:37:  	23:00:  	05:49:  	19:24:  	05:18:  	19:54:  	04:47:  	20:26:  
20220406	03-06	06:13:  	12:35:34	18:59:  	08:57:  	16:25:  	23:59:  	05:47:  	19:25:  	05:16:  	19:55:  	04:45:  	20:27:  
20220407	03-07	06:12:  	12:35:17	19:00:  	09:38:  	17:15:  	--:--:  	05:46:  	19:26:  	05:15:  	19:56:  	04:43:  	20:28:  
