20211214	11-11	07:30:  	12:18:06	17:06:  	14:16:  	20:52:  	02:39:  	07:01:  	17:35:  	06:28:  	18:08:  	05:56:  	18:40:  
20211215	11-12	07:31:  	12:18:35	17:06:  	14:42:  	21:35:  	03:38:  	07:02:  	17:36:  	06:29:  	18:08:  	05:57:  	18:40:  
20211216	11-13	07:31:  	12:19:04	17:07:  	15:09:  	22:19:  	04:37:  	07:02:  	17:36:  	06:29:  	18:09:  	05:57:  	18:41:  
20211217	11-14	07:32:  	12:19:33	17:07:  	15:41:  	23:05:  	05:36:  	07:03:  	17:36:  	06:30:  	18:09:  	05:58:  	18:41:  
20211218	11-15	07:33:  	12:20:02	17:07:  	16:18:  	23:53:  	06:35:  	07:03:  	17:37:  	06:31:  	18:09:  	05:59:  	18:41:  
20211219	11-16	07:33:  	12:20:32	17:08:  	17:00:  	--:--:  	07:33:  	07:04:  	17:37:  	06:31:  	18:10:  	05:59:  	18:42:  
20211220	11-17	07:34:  	12:21:01	17:08:  	17:49:  	00:43:  	08:27:  	07:05:  	17:38:  	06:32:  	18:10:  	06:00:  	18:42:  
20211221	11-18	07:34:  	12:21:31	17:09:  	18:44:  	01:34:  	09:17:  	07:05:  	17:38:  	06:32:  	18:11:  	06:00:  	18:43:  
20211222	11-19	07:35:  	12:22:01	17:09:  	19:43:  	02:25:  	10:00:  	07:06:  	17:38:  	06:33:  	18:11:  	06:01:  	18:43:  
20211223	11-20	07:35:  	12:22:30	17:10:  	20:44:  	03:14:  	10:38:  	07:06:  	17:39:  	06:33:  	18:12:  	06:01:  	18:44:  
20211224	11-21	07:36:  	12:23:00	17:10:  	21:47:  	04:02:  	11:11:  	07:06:  	17:40:  	06:34:  	18:12:  	06:02:  	18:44:  
20211225	11-22	07:36:  	12:23:30	17:11:  	22:50:  	04:48:  	11:40:  	07:07:  	17:40:  	06:34:  	18:13:  	06:02:  	18:45:  
20211226	11-23	07:37:  	12:24:00	17:11:  	23:53:  	05:33:  	12:07:  	07:07:  	17:41:  	06:34:  	18:14:  	06:03:  	18:45:  
20211227	11-24	07:37:  	12:24:29	17:12:  	--:--:  	06:18:  	12:33:  	07:08:  	17:41:  	06:35:  	18:14:  	06:03:  	18:46:  
20211228	11-25	07:37:  	12:24:59	17:13:  	00:58:  	07:04:  	13:00:  	07:08:  	17:42:  	06:35:  	18:15:  	06:03:  	18:47:  
20211229	11-26	07:38:  	12:25:28	17:13:  	02:06:  	07:52:  	13:29:  	07:08:  	17:43:  	06:36:  	18:15:  	06:04:  	18:47:  
20211230	11-27	07:38:  	12:25:57	17:14:  	03:17:  	08:44:  	14:02:  	07:09:  	17:43:  	06:36:  	18:16:  	06:04:  	18:48:  
20211231	11-28	07:38:  	12:26:26	17:15:  	04:32:  	09:40:  	14:42:  	07:09:  	17:44:  	06:36:  	18:17:  	06:04:  	18:49:  
20220101	11-29	07:38:  	12:26:55	17:16:  	05:48:  	10:42:  	15:30:  	07:09:  	17:45:  	06:36:  	18:18:  	06:05:  	18:49:  
20220102	11-30	07:38:  	12:27:23	17:17:  	07:03:  	11:47:  	16:30:  	07:09:  	17:46:  	06:37:  	18:18:  	06:05:  	18:50:  
20220103	12-01	07:38:  	12:27:51	17:17:  	08:11:  	12:54:  	17:38:  	07:09:  	17:46:  	06:37:  	18:19:  	06:05:  	18:51:  
