20211214	11-11	07:34:  	12:29:01	17:24:  	14:30:  	21:04:  	02:49:  	07:06:  	17:52:  	06:34:  	18:24:  	06:03:  	18:55:  
20211215	11-12	07:34:  	12:29:30	17:25:  	14:57:  	21:46:  	03:46:  	07:06:  	17:53:  	06:35:  	18:24:  	06:04:  	18:55:  
20211216	11-13	07:35:  	12:29:59	17:25:  	15:26:  	22:30:  	04:43:  	07:07:  	17:53:  	06:35:  	18:25:  	06:05:  	18:55:  
20211217	11-14	07:36:  	12:30:28	17:25:  	15:59:  	23:16:  	05:41:  	07:08:  	17:53:  	06:36:  	18:25:  	06:05:  	18:56:  
20211218	11-15	07:36:  	12:30:57	17:26:  	16:37:  	--:--:  	06:39:  	07:08:  	17:54:  	06:36:  	18:25:  	06:06:  	18:56:  
20211219	11-16	07:37:  	12:31:27	17:26:  	17:21:  	00:04:  	07:36:  	07:09:  	17:54:  	06:37:  	18:26:  	06:06:  	18:57:  
20211220	11-17	07:37:  	12:31:57	17:27:  	18:10:  	00:54:  	08:30:  	07:09:  	17:55:  	06:38:  	18:26:  	06:07:  	18:57:  
20211221	11-18	07:38:  	12:32:26	17:27:  	19:04:  	01:45:  	09:19:  	07:10:  	17:55:  	06:38:  	18:27:  	06:07:  	18:58:  
20211222	11-19	07:38:  	12:32:56	17:28:  	20:02:  	02:36:  	10:03:  	07:10:  	17:56:  	06:39:  	18:27:  	06:08:  	18:58:  
20211223	11-20	07:39:  	12:33:26	17:28:  	21:02:  	03:25:  	10:42:  	07:11:  	17:56:  	06:39:  	18:28:  	06:08:  	18:59:  
20211224	11-21	07:39:  	12:33:56	17:29:  	22:03:  	04:13:  	11:17:  	07:11:  	17:57:  	06:40:  	18:28:  	06:09:  	18:59:  
20211225	11-22	07:40:  	12:34:25	17:29:  	23:04:  	05:00:  	11:47:  	07:12:  	17:57:  	06:40:  	18:29:  	06:09:  	19:00:  
20211226	11-23	07:40:  	12:34:55	17:30:  	--:--:  	05:45:  	12:16:  	07:12:  	17:58:  	06:40:  	18:29:  	06:10:  	19:00:  
20211227	11-24	07:40:  	12:35:25	17:30:  	00:06:  	06:29:  	12:44:  	07:12:  	17:58:  	06:41:  	18:30:  	06:10:  	19:01:  
20211228	11-25	07:41:  	12:35:54	17:31:  	01:09:  	07:15:  	13:13:  	07:13:  	17:59:  	06:41:  	18:31:  	06:10:  	19:01:  
20211229	11-26	07:41:  	12:36:23	17:32:  	02:15:  	08:03:  	13:44:  	07:13:  	18:00:  	06:42:  	18:31:  	06:11:  	19:02:  
20211230	11-27	07:41:  	12:36:52	17:32:  	03:24:  	08:55:  	14:19:  	07:13:  	18:00:  	06:42:  	18:32:  	06:11:  	19:03:  
20211231	11-28	07:42:  	12:37:21	17:33:  	04:37:  	09:51:  	15:00:  	07:14:  	18:01:  	06:42:  	18:33:  	06:11:  	19:03:  
