20211214	11-11	07:31:  	12:27:33	17:24:  	14:29:  	21:02:  	02:47:  	07:03:  	17:52:  	06:32:  	18:23:  	06:01:  	18:54:  
20211215	11-12	07:32:  	12:28:01	17:24:  	14:56:  	21:44:  	03:44:  	07:04:  	17:52:  	06:32:  	18:24:  	06:02:  	18:54:  
20211216	11-13	07:32:  	12:28:30	17:25:  	15:26:  	22:28:  	04:41:  	07:04:  	17:53:  	06:33:  	18:24:  	06:02:  	18:55:  
20211217	11-14	07:33:  	12:28:59	17:25:  	15:59:  	23:14:  	05:38:  	07:05:  	17:53:  	06:34:  	18:24:  	06:03:  	18:55:  
20211218	11-15	07:33:  	12:29:29	17:25:  	16:37:  	--:--:  	06:36:  	07:06:  	17:53:  	06:34:  	18:25:  	06:04:  	18:55:  
20211219	11-16	07:34:  	12:29:58	17:26:  	17:21:  	00:03:  	07:33:  	07:06:  	17:54:  	06:35:  	18:25:  	06:04:  	18:56:  
20211220	11-17	07:35:  	12:30:28	17:26:  	18:10:  	00:53:  	08:26:  	07:07:  	17:54:  	06:35:  	18:26:  	06:05:  	18:56:  
20211221	11-18	07:35:  	12:30:58	17:27:  	19:04:  	01:44:  	09:16:  	07:07:  	17:55:  	06:36:  	18:26:  	06:05:  	18:57:  
20211222	11-19	07:36:  	12:31:27	17:27:  	20:02:  	02:34:  	10:00:  	07:08:  	17:55:  	06:36:  	18:27:  	06:06:  	18:57:  
20211223	11-20	07:36:  	12:31:57	17:28:  	21:02:  	03:24:  	10:39:  	07:08:  	17:56:  	06:37:  	18:27:  	06:06:  	18:58:  
20211224	11-21	07:37:  	12:32:27	17:28:  	22:02:  	04:12:  	11:14:  	07:09:  	17:56:  	06:37:  	18:28:  	06:07:  	18:58:  
20211225	11-22	07:37:  	12:32:57	17:29:  	23:03:  	04:58:  	11:45:  	07:09:  	17:57:  	06:38:  	18:28:  	06:07:  	18:59:  
20211226	11-23	07:37:  	12:33:26	17:30:  	--:--:  	05:43:  	12:14:  	07:09:  	17:57:  	06:38:  	18:29:  	06:07:  	18:59:  
20211227	11-24	07:38:  	12:33:56	17:30:  	00:05:  	06:28:  	12:43:  	07:10:  	17:58:  	06:38:  	18:29:  	06:08:  	19:00:  
20211228	11-25	07:38:  	12:34:25	17:31:  	01:07:  	07:14:  	13:11:  	07:10:  	17:59:  	06:39:  	18:30:  	06:08:  	19:01:  
20211229	11-26	07:38:  	12:34:55	17:32:  	02:13:  	08:02:  	13:43:  	07:11:  	17:59:  	06:39:  	18:31:  	06:09:  	19:01:  
20211230	11-27	07:39:  	12:35:24	17:32:  	03:22:  	08:53:  	14:18:  	07:11:  	18:00:  	06:39:  	18:31:  	06:09:  	19:02:  
20211231	11-28	07:39:  	12:35:53	17:33:  	04:34:  	09:50:  	15:00:  	07:11:  	18:01:  	06:40:  	18:32:  	06:09:  	19:03:  
20220101	11-29	07:39:  	12:36:21	17:34:  	05:49:  	10:52:  	15:50:  	07:11:  	18:01:  	06:40:  	18:33:  	06:09:  	19:03:  
20220102	11-30	07:39:  	12:36:49	17:34:  	07:02:  	11:57:  	16:50:  	07:12:  	18:02:  	06:40:  	18:33:  	06:10:  	19:04:  
20220103	12-01	07:39:  	12:37:17	17:35:  	08:10:  	13:04:  	17:59:  	07:12:  	18:03:  	06:40:  	18:34:  	06:10:  	19:05:  
20220104	12-02	07:40:  	12:37:45	17:36:  	09:08:  	14:08:  	19:12:  	07:12:  	18:04:  	06:41:  	18:35:  	06:10:  	19:05:  
20220105	12-03	07:40:  	12:38:12	17:37:  	09:56:  	15:07:  	20:24:  	07:12:  	18:05:  	06:41:  	18:36:  	06:10:  	19:06:  
20220106	12-04	07:40:  	12:38:39	17:38:  	10:35:  	16:01:  	21:33:  	07:12:  	18:05:  	06:41:  	18:36:  	06:11:  	19:07:  
20220107	12-05	07:40:  	12:39:05	17:39:  	11:09:  	16:50:  	22:38:  	07:12:  	18:06:  	06:41:  	18:37:  	06:11:  	19:08:  
20220108	12-06	07:40:  	12:39:31	17:39:  	11:38:  	17:35:  	23:40:  	07:12:  	18:07:  	06:41:  	18:38:  	06:11:  	19:08:  
20220109	12-07	07:40:  	12:39:56	17:40:  	12:05:  	18:18:  	--:--:  	07:12:  	18:08:  	06:41:  	18:39:  	06:11:  	19:09:  
20220110	12-08	07:40:  	12:40:21	17:41:  	12:31:  	19:00:  	00:39:  	07:12:  	18:09:  	06:41:  	18:40:  	06:11:  	19:10:  
20220111	12-09	07:40:  	12:40:45	17:42:  	12:58:  	19:42:  	01:37:  	07:12:  	18:09:  	06:41:  	18:40:  	06:11:  	19:11:  
20220112	12-10	07:40:  	12:41:08	17:43:  	13:27:  	20:25:  	02:34:  	07:12:  	18:10:  	06:41:  	18:41:  	06:11:  	19:12:  
20220113	12-11	07:39:  	12:41:31	17:44:  	13:59:  	21:11:  	03:31:  	07:12:  	18:11:  	06:41:  	18:42:  	06:11:  	19:12:  
20220114	12-12	07:39:  	12:41:53	17:45:  	14:35:  	21:58:  	04:29:  	07:12:  	18:12:  	06:41:  	18:43:  	06:11:  	19:13:  
20220115	12-13	07:39:  	12:42:15	17:46:  	15:17:  	22:48:  	05:26:  	07:12:  	18:13:  	06:41:  	18:44:  	06:11:  	19:14:  
