20211214	11-11	07:27:  	12:16:58	17:06:  	14:16:  	20:51:  	02:38:  	06:58:  	17:35:  	06:26:  	18:08:  	05:54:  	18:40:  
20211215	11-12	07:28:  	12:17:26	17:07:  	14:41:  	21:34:  	03:36:  	06:59:  	17:36:  	06:27:  	18:08:  	05:55:  	18:40:  
20211216	11-13	07:29:  	12:17:55	17:07:  	15:09:  	22:17:  	04:35:  	07:00:  	17:36:  	06:27:  	18:09:  	05:56:  	18:40:  
20211217	11-14	07:29:  	12:18:24	17:07:  	15:41:  	23:03:  	05:34:  	07:00:  	17:36:  	06:28:  	18:09:  	05:56:  	18:41:  
20211218	11-15	07:30:  	12:18:54	17:08:  	16:18:  	23:52:  	06:33:  	07:01:  	17:37:  	06:28:  	18:09:  	05:57:  	18:41:  
20211219	11-16	07:31:  	12:19:23	17:08:  	17:01:  	--:--:  	07:30:  	07:02:  	17:37:  	06:29:  	18:10:  	05:57:  	18:41:  
20211220	11-17	07:31:  	12:19:53	17:09:  	17:50:  	00:42:  	08:24:  	07:02:  	17:38:  	06:30:  	18:10:  	05:58:  	18:42:  
20211221	11-18	07:32:  	12:20:22	17:09:  	18:45:  	01:33:  	09:14:  	07:03:  	17:38:  	06:30:  	18:11:  	05:58:  	18:42:  
20211222	11-19	07:32:  	12:20:52	17:10:  	19:43:  	02:23:  	09:57:  	07:03:  	17:39:  	06:31:  	18:11:  	05:59:  	18:43:  
20211223	11-20	07:33:  	12:21:22	17:10:  	20:44:  	03:13:  	10:35:  	07:04:  	17:39:  	06:31:  	18:12:  	05:59:  	18:43:  
20211224	11-21	07:33:  	12:21:52	17:11:  	21:46:  	04:01:  	11:09:  	07:04:  	17:40:  	06:32:  	18:12:  	06:00:  	18:44:  
20211225	11-22	07:34:  	12:22:22	17:11:  	22:49:  	04:47:  	11:38:  	07:05:  	17:40:  	06:32:  	18:13:  	06:00:  	18:44:  
20211226	11-23	07:34:  	12:22:51	17:12:  	23:52:  	05:32:  	12:06:  	07:05:  	17:41:  	06:32:  	18:13:  	06:01:  	18:45:  
20211227	11-24	07:34:  	12:23:21	17:12:  	--:--:  	06:17:  	12:32:  	07:05:  	17:41:  	06:33:  	18:14:  	06:01:  	18:46:  
20211228	11-25	07:35:  	12:23:50	17:13:  	00:57:  	07:03:  	12:59:  	07:06:  	17:42:  	06:33:  	18:15:  	06:01:  	18:46:  
20211229	11-26	07:35:  	12:24:20	17:14:  	02:04:  	07:51:  	13:29:  	07:06:  	17:43:  	06:33:  	18:15:  	06:02:  	18:47:  
