20211214	11-11	07:40:  	12:27:46	17:16:  	14:26:  	21:02:  	02:49:  	07:10:  	17:45:  	06:38:  	18:18:  	06:06:  	18:50:  
20211215	11-12	07:40:  	12:28:14	17:16:  	14:52:  	21:45:  	03:48:  	07:11:  	17:45:  	06:38:  	18:18:  	06:06:  	18:50:  
20211216	11-13	07:41:  	12:28:43	17:16:  	15:19:  	22:29:  	04:47:  	07:12:  	17:46:  	06:39:  	18:18:  	06:07:  	18:50:  
20211217	11-14	07:42:  	12:29:13	17:17:  	15:51:  	23:15:  	05:46:  	07:12:  	17:46:  	06:40:  	18:19:  	06:08:  	18:51:  
20211218	11-15	07:42:  	12:29:42	17:17:  	16:28:  	--:--:  	06:45:  	07:13:  	17:46:  	06:40:  	18:19:  	06:08:  	18:51:  
20211219	11-16	07:43:  	12:30:11	17:18:  	17:11:  	00:03:  	07:43:  	07:13:  	17:47:  	06:41:  	18:20:  	06:09:  	18:52:  
20211220	11-17	07:43:  	12:30:41	17:18:  	18:00:  	00:53:  	08:37:  	07:14:  	17:47:  	06:41:  	18:20:  	06:09:  	18:52:  
20211221	11-18	07:44:  	12:31:11	17:19:  	18:54:  	01:44:  	09:26:  	07:15:  	17:48:  	06:42:  	18:21:  	06:10:  	18:52:  
20211222	11-19	07:44:  	12:31:40	17:19:  	19:53:  	02:35:  	10:10:  	07:15:  	17:48:  	06:42:  	18:21:  	06:10:  	18:53:  
20211223	11-20	07:45:  	12:32:10	17:20:  	20:54:  	03:24:  	10:48:  	07:16:  	17:49:  	06:43:  	18:22:  	06:11:  	18:53:  
20211224	11-21	07:45:  	12:32:40	17:20:  	21:57:  	04:12:  	11:21:  	07:16:  	17:49:  	06:43:  	18:22:  	06:11:  	18:54:  
20211225	11-22	07:46:  	12:33:10	17:21:  	23:00:  	04:58:  	11:50:  	07:16:  	17:50:  	06:44:  	18:23:  	06:12:  	18:55:  
20211226	11-23	07:46:  	12:33:39	17:21:  	--:--:  	05:43:  	12:17:  	07:17:  	17:51:  	06:44:  	18:23:  	06:12:  	18:55:  
20211227	11-24	07:46:  	12:34:09	17:22:  	00:03:  	06:28:  	12:43:  	07:17:  	17:51:  	06:44:  	18:24:  	06:13:  	18:56:  
20211228	11-25	07:47:  	12:34:38	17:23:  	01:08:  	07:14:  	13:10:  	07:17:  	17:52:  	06:45:  	18:25:  	06:13:  	18:56:  
20211229	11-26	07:47:  	12:35:08	17:23:  	02:16:  	08:02:  	13:39:  	07:18:  	17:53:  	06:45:  	18:25:  	06:13:  	18:57:  
20211230	11-27	07:47:  	12:35:37	17:24:  	03:27:  	08:54:  	14:12:  	07:18:  	17:53:  	06:45:  	18:26:  	06:14:  	18:58:  
20211231	11-28	07:47:  	12:36:06	17:25:  	04:42:  	09:50:  	14:52:  	07:18:  	17:54:  	06:46:  	18:27:  	06:14:  	18:58:  
20220101	11-29	07:48:  	12:36:34	17:26:  	05:58:  	10:52:  	15:41:  	07:19:  	17:55:  	06:46:  	18:27:  	06:14:  	18:59:  
20220102	11-30	07:48:  	12:37:03	17:26:  	07:13:  	11:57:  	16:40:  	07:19:  	17:56:  	06:46:  	18:28:  	06:14:  	19:00:  
20220103	12-01	07:48:  	12:37:30	17:27:  	08:21:  	13:04:  	17:49:  	07:19:  	17:56:  	06:46:  	18:29:  	06:15:  	19:01:  
20220104	12-02	07:48:  	12:37:58	17:28:  	09:18:  	14:08:  	19:03:  	07:19:  	17:57:  	06:46:  	18:30:  	06:15:  	19:01:  
20220105	12-03	07:48:  	12:38:25	17:29:  	10:04:  	15:07:  	20:17:  	07:19:  	17:58:  	06:47:  	18:30:  	06:15:  	19:02:  
20220106	12-04	07:48:  	12:38:52	17:30:  	10:41:  	16:01:  	21:28:  	07:19:  	17:59:  	06:47:  	18:31:  	06:15:  	19:03:  
20220107	12-05	07:48:  	12:39:18	17:31:  	11:12:  	16:50:  	22:36:  	07:19:  	18:00:  	06:47:  	18:32:  	06:15:  	19:04:  
20220108	12-06	07:48:  	12:39:44	17:32:  	11:40:  	17:35:  	23:39:  	07:19:  	18:01:  	06:47:  	18:33:  	06:15:  	19:05:  
20220109	12-07	07:48:  	12:40:09	17:33:  	12:05:  	18:18:  	--:--:  	07:19:  	18:01:  	06:47:  	18:34:  	06:15:  	19:05:  
20220110	12-08	07:48:  	12:40:34	17:34:  	12:29:  	19:00:  	00:40:  	07:19:  	18:02:  	06:47:  	18:35:  	06:15:  	19:06:  
20220111	12-09	07:48:  	12:40:58	17:34:  	12:54:  	19:42:  	01:40:  	07:19:  	18:03:  	06:47:  	18:36:  	06:15:  	19:07:  
20220112	12-10	07:48:  	12:41:21	17:35:  	13:22:  	20:26:  	02:39:  	07:19:  	18:04:  	06:47:  	18:36:  	06:15:  	19:08:  
20220113	12-11	07:47:  	12:41:44	17:36:  	13:52:  	21:11:  	03:39:  	07:19:  	18:05:  	06:46:  	18:37:  	06:15:  	19:09:  
20220114	12-12	07:47:  	12:42:06	17:37:  	14:27:  	21:58:  	04:38:  	07:18:  	18:06:  	06:46:  	18:38:  	06:15:  	19:10:  
20220115	12-13	07:47:  	12:42:28	17:38:  	15:07:  	22:48:  	05:36:  	07:18:  	18:07:  	06:46:  	18:39:  	06:15:  	19:11:  
20220116	12-14	07:46:  	12:42:49	17:39:  	15:55:  	23:39:  	06:31:  	07:18:  	18:08:  	06:46:  	18:40:  	06:14:  	19:11:  
20220117	12-15	07:46:  	12:43:09	17:41:  	16:48:  	--:--:  	07:23:  	07:18:  	18:09:  	06:46:  	18:41:  	06:14:  	19:12:  
20220118	12-16	07:46:  	12:43:28	17:42:  	17:46:  	00:30:  	08:08:  	07:17:  	18:10:  	06:45:  	18:42:  	06:14:  	19:13:  
20220119	12-17	07:45:  	12:43:47	17:43:  	18:48:  	01:21:  	08:48:  	07:17:  	18:11:  	06:45:  	18:43:  	06:14:  	19:14:  
20220120	12-18	07:45:  	12:44:05	17:44:  	19:50:  	02:10:  	09:23:  	07:17:  	18:12:  	06:45:  	18:44:  	06:13:  	19:15:  
20220121	12-19	07:44:  	12:44:22	17:45:  	20:53:  	02:57:  	09:53:  	07:16:  	18:13:  	06:44:  	18:45:  	06:13:  	19:16:  
20220122	12-20	07:44:  	12:44:39	17:46:  	21:57:  	03:42:  	10:21:  	07:16:  	18:14:  	06:44:  	18:46:  	06:13:  	19:17:  
20220123	12-21	07:43:  	12:44:55	17:47:  	23:00:  	04:27:  	10:47:  	07:15:  	18:15:  	06:43:  	18:47:  	06:12:  	19:18:  
20220124	12-22	07:43:  	12:45:10	17:48:  	--:--:  	05:11:  	11:13:  	07:15:  	18:16:  	06:43:  	18:48:  	06:12:  	19:19:  
20220125	12-23	07:42:  	12:45:24	17:49:  	00:05:  	05:57:  	11:40:  	07:14:  	18:17:  	06:42:  	18:49:  	06:11:  	19:20:  
20220126	12-24	07:41:  	12:45:37	17:50:  	01:13:  	06:46:  	12:10:  	07:14:  	18:18:  	06:42:  	18:50:  	06:11:  	19:21:  
20220127	12-25	07:41:  	12:45:50	17:51:  	02:24:  	07:38:  	12:46:  	07:13:  	18:19:  	06:41:  	18:51:  	06:10:  	19:22:  
20220128	12-26	07:40:  	12:46:02	17:52:  	03:37:  	08:35:  	13:28:  	07:12:  	18:20:  	06:41:  	18:52:  	06:10:  	19:23:  
