20211214	11-11	07:30:  	12:28:26	17:27:  	14:30:  	21:03:  	02:47:  	07:02:  	17:55:  	06:31:  	18:26:  	06:01:  	18:56:  
20211215	11-12	07:30:  	12:28:54	17:27:  	14:58:  	21:45:  	03:44:  	07:03:  	17:55:  	06:32:  	18:26:  	06:01:  	18:56:  
20211216	11-13	07:31:  	12:29:23	17:28:  	15:28:  	22:29:  	04:40:  	07:03:  	17:55:  	06:32:  	18:26:  	06:02:  	18:57:  
20211217	11-14	07:32:  	12:29:52	17:28:  	16:02:  	23:15:  	05:38:  	07:04:  	17:56:  	06:33:  	18:27:  	06:03:  	18:57:  
20211218	11-15	07:32:  	12:30:22	17:28:  	16:40:  	--:--:  	06:35:  	07:05:  	17:56:  	06:34:  	18:27:  	06:03:  	18:57:  
20211219	11-16	07:33:  	12:30:51	17:29:  	17:24:  	00:04:  	07:31:  	07:05:  	17:56:  	06:34:  	18:28:  	06:04:  	18:58:  
20211220	11-17	07:33:  	12:31:21	17:29:  	18:13:  	00:54:  	08:25:  	07:06:  	17:57:  	06:35:  	18:28:  	06:04:  	18:58:  
20211221	11-18	07:34:  	12:31:50	17:30:  	19:07:  	01:45:  	09:14:  	07:06:  	17:57:  	06:35:  	18:28:  	06:05:  	18:59:  
20211222	11-19	07:34:  	12:32:20	17:30:  	20:05:  	02:35:  	09:59:  	07:07:  	17:58:  	06:36:  	18:29:  	06:05:  	18:59:  
20211223	11-20	07:35:  	12:32:50	17:31:  	21:04:  	03:25:  	10:38:  	07:07:  	17:58:  	06:36:  	18:29:  	06:06:  	19:00:  
20211224	11-21	07:35:  	12:33:20	17:31:  	22:05:  	04:13:  	11:13:  	07:08:  	17:59:  	06:37:  	18:30:  	06:06:  	19:00:  
20211225	11-22	07:36:  	12:33:49	17:32:  	23:05:  	04:59:  	11:45:  	07:08:  	18:00:  	06:37:  	18:31:  	06:07:  	19:01:  
20211226	11-23	07:36:  	12:34:19	17:33:  	--:--:  	05:44:  	12:15:  	07:09:  	18:00:  	06:37:  	18:31:  	06:07:  	19:02:  
20211227	11-24	07:37:  	12:34:49	17:33:  	00:06:  	06:29:  	12:43:  	07:09:  	18:01:  	06:38:  	18:32:  	06:08:  	19:02:  
20211228	11-25	07:37:  	12:35:18	17:34:  	01:08:  	07:15:  	13:13:  	07:09:  	18:01:  	06:38:  	18:32:  	06:08:  	19:03:  
20211229	11-26	07:37:  	12:35:47	17:34:  	02:13:  	08:03:  	13:44:  	07:10:  	18:02:  	06:39:  	18:33:  	06:08:  	19:03:  
20211230	11-27	07:37:  	12:36:17	17:35:  	03:21:  	08:54:  	14:20:  	07:10:  	18:03:  	06:39:  	18:34:  	06:09:  	19:04:  
20211231	11-28	07:38:  	12:36:45	17:36:  	04:33:  	09:51:  	15:03:  	07:10:  	18:03:  	06:39:  	18:34:  	06:09:  	19:05:  
20220101	11-29	07:38:  	12:37:14	17:37:  	05:47:  	10:52:  	15:53:  	07:11:  	18:04:  	06:40:  	18:35:  	06:09:  	19:05:  
20220102	11-30	07:38:  	12:37:42	17:37:  	07:01:  	11:58:  	16:54:  	07:11:  	18:05:  	06:40:  	18:36:  	06:10:  	19:06:  
20220103	12-01	07:38:  	12:38:10	17:38:  	08:08:  	13:05:  	18:02:  	07:11:  	18:06:  	06:40:  	18:36:  	06:10:  	19:07:  
20220104	12-02	07:39:  	12:38:38	17:39:  	09:07:  	14:09:  	19:15:  	07:11:  	18:06:  	06:40:  	18:37:  	06:10:  	19:07:  
