20211214	11-11	07:25:  	12:17:12	17:09:  	14:17:  	20:52:  	02:37:  	06:56:  	17:38:  	06:24:  	18:10:  	05:53:  	18:41:  
20211215	11-12	07:26:  	12:17:40	17:10:  	14:43:  	21:34:  	03:35:  	06:57:  	17:38:  	06:25:  	18:10:  	05:54:  	18:41:  
20211216	11-13	07:26:  	12:18:09	17:10:  	15:12:  	22:18:  	04:33:  	06:58:  	17:38:  	06:26:  	18:11:  	05:54:  	18:42:  
20211217	11-14	07:27:  	12:18:38	17:10:  	15:44:  	23:04:  	05:32:  	06:58:  	17:39:  	06:26:  	18:11:  	05:55:  	18:42:  
20211218	11-15	07:28:  	12:19:08	17:11:  	16:21:  	23:52:  	06:30:  	06:59:  	17:39:  	06:27:  	18:11:  	05:56:  	18:43:  
20211219	11-16	07:28:  	12:19:37	17:11:  	17:04:  	--:--:  	07:27:  	07:00:  	17:40:  	06:27:  	18:12:  	05:56:  	18:43:  
20211220	11-17	07:29:  	12:20:07	17:11:  	17:54:  	00:42:  	08:21:  	07:00:  	17:40:  	06:28:  	18:12:  	05:57:  	18:44:  
20211221	11-18	07:29:  	12:20:36	17:12:  	18:48:  	01:33:  	09:11:  	07:01:  	17:41:  	06:29:  	18:13:  	05:57:  	18:44:  
20211222	11-19	07:30:  	12:21:06	17:12:  	19:46:  	02:24:  	09:55:  	07:01:  	17:41:  	06:29:  	18:13:  	05:58:  	18:44:  
20211223	11-20	07:30:  	12:21:36	17:13:  	20:47:  	03:13:  	10:33:  	07:02:  	17:42:  	06:29:  	18:14:  	05:58:  	18:45:  
20211224	11-21	07:31:  	12:22:06	17:14:  	21:48:  	04:01:  	11:07:  	07:02:  	17:42:  	06:30:  	18:14:  	05:59:  	18:46:  
20211225	11-22	07:31:  	12:22:35	17:14:  	22:50:  	04:47:  	11:37:  	07:03:  	17:43:  	06:30:  	18:15:  	05:59:  	18:46:  
20211226	11-23	07:32:  	12:23:05	17:15:  	23:53:  	05:32:  	12:05:  	07:03:  	17:43:  	06:31:  	18:15:  	06:00:  	18:47:  
20211227	11-24	07:32:  	12:23:35	17:15:  	--:--:  	06:17:  	12:32:  	07:03:  	17:44:  	06:31:  	18:16:  	06:00:  	18:47:  
20211228	11-25	07:32:  	12:24:04	17:16:  	00:57:  	07:03:  	13:00:  	07:04:  	17:45:  	06:32:  	18:17:  	06:00:  	18:48:  
20211229	11-26	07:32:  	12:24:33	17:17:  	02:03:  	07:51:  	13:30:  	07:04:  	17:45:  	06:32:  	18:17:  	06:01:  	18:49:  
20211230	11-27	07:33:  	12:25:03	17:17:  	03:13:  	08:43:  	14:04:  	07:04:  	17:46:  	06:32:  	18:18:  	06:01:  	18:49:  
20211231	11-28	07:33:  	12:25:31	17:18:  	04:27:  	09:39:  	14:45:  	07:04:  	17:47:  	06:32:  	18:19:  	06:01:  	18:50:  
20220101	11-29	07:33:  	12:26:00	17:19:  	05:43:  	10:41:  	15:34:  	07:05:  	17:47:  	06:33:  	18:19:  	06:02:  	18:51:  
20220102	11-30	07:33:  	12:26:28	17:20:  	06:57:  	11:46:  	16:34:  	07:05:  	17:48:  	06:33:  	18:20:  	06:02:  	18:51:  
20220103	12-01	07:34:  	12:26:56	17:20:  	08:05:  	12:53:  	17:43:  	07:05:  	17:49:  	06:33:  	18:21:  	06:02:  	18:52:  
20220104	12-02	07:34:  	12:27:24	17:21:  	09:02:  	13:57:  	18:56:  	07:05:  	17:50:  	06:33:  	18:22:  	06:02:  	18:53:  
20220105	12-03	07:34:  	12:27:51	17:22:  	09:49:  	14:56:  	20:09:  	07:05:  	17:51:  	06:33:  	18:22:  	06:02:  	18:54:  
20220106	12-04	07:34:  	12:28:18	17:23:  	10:28:  	15:50:  	21:20:  	07:05:  	17:51:  	06:34:  	18:23:  	06:02:  	18:54:  
20220107	12-05	07:34:  	12:28:44	17:24:  	11:00:  	16:39:  	22:26:  	07:05:  	17:52:  	06:34:  	18:24:  	06:03:  	18:55:  
20220108	12-06	07:34:  	12:29:10	17:25:  	11:28:  	17:24:  	23:28:  	07:05:  	17:53:  	06:34:  	18:25:  	06:03:  	18:56:  
20220109	12-07	07:34:  	12:29:35	17:26:  	11:54:  	18:07:  	--:--:  	07:05:  	17:54:  	06:34:  	18:26:  	06:03:  	18:57:  
20220110	12-08	07:34:  	12:30:00	17:27:  	12:20:  	18:49:  	00:29:  	07:05:  	17:55:  	06:34:  	18:27:  	06:03:  	18:57:  
20220111	12-09	07:33:  	12:30:24	17:28:  	12:46:  	19:31:  	01:27:  	07:05:  	17:56:  	06:34:  	18:27:  	06:03:  	18:58:  
20220112	12-10	07:33:  	12:30:47	17:28:  	13:13:  	20:15:  	02:26:  	07:05:  	17:57:  	06:34:  	18:28:  	06:03:  	18:59:  
20220113	12-11	07:33:  	12:31:10	17:29:  	13:45:  	21:00:  	03:24:  	07:05:  	17:57:  	06:33:  	18:29:  	06:03:  	19:00:  
20220114	12-12	07:33:  	12:31:32	17:30:  	14:20:  	21:48:  	04:23:  	07:05:  	17:58:  	06:33:  	18:30:  	06:03:  	19:01:  
20220115	12-13	07:33:  	12:31:54	17:31:  	15:01:  	22:37:  	05:20:  	07:05:  	17:59:  	06:33:  	18:31:  	06:02:  	19:02:  
20220116	12-14	07:32:  	12:32:14	17:32:  	15:49:  	23:28:  	06:16:  	07:04:  	18:00:  	06:33:  	18:32:  	06:02:  	19:03:  
20220117	12-15	07:32:  	12:32:35	17:33:  	16:42:  	--:--:  	07:07:  	07:04:  	18:01:  	06:33:  	18:33:  	06:02:  	19:03:  
20220118	12-16	07:32:  	12:32:54	17:34:  	17:40:  	00:19:  	07:53:  	07:04:  	18:02:  	06:33:  	18:34:  	06:02:  	19:04:  
