20211214	11-11	07:37:  	12:32:46	17:28:  	14:34:  	21:08:  	02:53:  	07:09:  	17:56:  	06:38:  	18:28:  	06:07:  	18:59:  
20211215	11-12	07:38:  	12:33:15	17:29:  	15:01:  	21:50:  	03:50:  	07:10:  	17:57:  	06:38:  	18:28:  	06:07:  	18:59:  
20211216	11-13	07:38:  	12:33:44	17:29:  	15:30:  	22:34:  	04:47:  	07:10:  	17:57:  	06:39:  	18:29:  	06:08:  	18:59:  
20211217	11-14	07:39:  	12:34:13	17:29:  	16:03:  	23:20:  	05:45:  	07:11:  	17:57:  	06:39:  	18:29:  	06:09:  	19:00:  
20211218	11-15	07:40:  	12:34:42	17:30:  	16:41:  	--:--:  	06:43:  	07:12:  	17:58:  	06:40:  	18:29:  	06:09:  	19:00:  
20211219	11-16	07:40:  	12:35:12	17:30:  	17:25:  	00:08:  	07:39:  	07:12:  	17:58:  	06:41:  	18:30:  	06:10:  	19:01:  
20211220	11-17	07:41:  	12:35:41	17:31:  	18:14:  	00:58:  	08:33:  	07:13:  	17:59:  	06:41:  	18:30:  	06:10:  	19:01:  
20211221	11-18	07:41:  	12:36:11	17:31:  	19:08:  	01:49:  	09:23:  	07:13:  	17:59:  	06:42:  	18:31:  	06:11:  	19:01:  
20211222	11-19	07:42:  	12:36:41	17:32:  	20:06:  	02:40:  	10:07:  	07:14:  	18:00:  	06:42:  	18:31:  	06:11:  	19:02:  
20211223	11-20	07:42:  	12:37:10	17:32:  	21:06:  	03:29:  	10:46:  	07:14:  	18:00:  	06:43:  	18:32:  	06:12:  	19:03:  
20211224	11-21	07:43:  	12:37:40	17:33:  	22:07:  	04:17:  	11:20:  	07:15:  	18:01:  	06:43:  	18:32:  	06:12:  	19:03:  
20211225	11-22	07:43:  	12:38:10	17:33:  	23:08:  	05:03:  	11:51:  	07:15:  	18:01:  	06:44:  	18:33:  	06:13:  	19:04:  
20211226	11-23	07:44:  	12:38:40	17:34:  	--:--:  	05:48:  	12:20:  	07:15:  	18:02:  	06:44:  	18:33:  	06:13:  	19:04:  
20211227	11-24	07:44:  	12:39:09	17:34:  	00:10:  	06:33:  	12:48:  	07:16:  	18:02:  	06:44:  	18:34:  	06:14:  	19:05:  
20211228	11-25	07:44:  	12:39:39	17:35:  	01:13:  	07:19:  	13:17:  	07:16:  	18:03:  	06:45:  	18:35:  	06:14:  	19:05:  
20211229	11-26	07:45:  	12:40:08	17:36:  	02:19:  	08:07:  	13:48:  	07:17:  	18:04:  	06:45:  	18:35:  	06:14:  	19:06:  
20211230	11-27	07:45:  	12:40:37	17:37:  	03:28:  	08:59:  	14:23:  	07:17:  	18:04:  	06:45:  	18:36:  	06:15:  	19:07:  
20211231	11-28	07:45:  	12:41:06	17:37:  	04:40:  	09:55:  	15:04:  	07:17:  	18:05:  	06:46:  	18:37:  	06:15:  	19:07:  
20220101	11-29	07:45:  	12:41:34	17:38:  	05:55:  	10:57:  	15:54:  	07:17:  	18:06:  	06:46:  	18:37:  	06:15:  	19:08:  
20220102	11-30	07:45:  	12:42:03	17:39:  	07:09:  	12:03:  	16:55:  	07:18:  	18:07:  	06:46:  	18:38:  	06:15:  	19:09:  
20220103	12-01	07:46:  	12:42:31	17:40:  	08:17:  	13:09:  	18:03:  	07:18:  	18:07:  	06:46:  	18:39:  	06:16:  	19:09:  
20220104	12-02	07:46:  	12:42:58	17:40:  	09:15:  	14:13:  	19:16:  	07:18:  	18:08:  	06:47:  	18:40:  	06:16:  	19:10:  
20220105	12-03	07:46:  	12:43:25	17:41:  	10:02:  	15:12:  	20:29:  	07:18:  	18:09:  	06:47:  	18:40:  	06:16:  	19:11:  
